id,thikr,at
1,"৯৯-(১) দুই হাতের তালু একত্রে মিলিয়ে নিম্নোক্ত সূরাগুলো পড়ে তাতে ফুঁ দিবে: রহমান, রহীম আল্লাহর নামে। 
বলুন, তিনি আল্লাহ্, এক-অদ্বিতীয়। আল্লাহ্ হচ্ছেন ‘সামাদ’ (তিনি কারো মুখাপেক্ষী নন, সকলেই তাঁর মুখাপেক্ষী)। তিনি কাউকেও জন্ম দেন নি এবং তাঁকেও জন্ম দেয়া হয় নি। আর তাঁর সমতুল্য কেউই নেই।
রহমান, রহীম আল্লাহর নামে। বলুন, আমি আশ্রয় প্রার্থনা করছি  ঊষার রবের। তিনি যা সৃষ্টি করেছেন তার অনিষ্ট হতে। ‘আর অনিষ্ট হতে রাতের অন্ধকারের, যখন তা গভীর হয়। আর অনিষ্ট হতে সমস্ত নারীদের, যারা গিরায় ফুঁক দেয়। আর অনিষ্ট হতে হিংসুকের, যখন সে হিংসা করে।
রহমান, রহীম আল্লাহর নামে। বলুন, আমি আশ্রয় প্রার্থনা করছি মানুষের রবের, মানুষের অধিপতির, মানুষের ইলাহের কাছে, আত্মগোপনকারী কুমন্ত্রণাদাতার অনিষ্ট হতে; যে কুমন্ত্রণা দেয় মানুষের অন্তরে, জিনের মধ্য থেকে এবং মানুষের মধ্য থেকে। তারপর দুই হাতের তালু দ্বারা দেহের যতোটা অংশ সম্ভব মাসেহ করবে। মাসেহ আরম্ভ করবে তার মাথা, মুখমণ্ডল ও দেহের সামনের দিক থেকে। (এভাবে ৩ বার করবে।)(১)


.............................
(১) সহীহ বুখারী, (ফাতহুল বারীসহ) ৯/৬২, হাদীস নং ৫০১৭; সহীহ মুসলিম ৪/১৭২৩, হাদীস নং ২১৯২।",২৮- ঘুমানোর যিকিরসমূহ
2,"১০০-(২) আল্লাহ্, তিনি ছাড়া কোনো সত্য ইলাহ্ নেই। তিনি চিরঞ্জীব, সর্বসত্তার ধারক। তাঁকে তন্দ্রাও স্পর্শ করতে পারে না, নিদ্রাও নয়। আসমানসমূহে যা রয়েছে ও যমীনে যা রয়েছে সবই তাঁর। কে সে, যে তাঁর অনুমতি ব্যতীত তাঁর কাছে সুপারিশ করবে? তাদের সামনে ও পিছনে যা কিছু আছে তা তিনি জানেন। আর যা তিনি ইচ্ছে করেন তা ছাড়া তাঁর জ্ঞানের কোনো কিছুকেই তারা পরিবেষ্টন করতে পারে না। তাঁর ‘কুরসী’ আসমানসমূহ ও যমীনকে পরিব্যাপ্ত করে আছে; আর এ দুটোর রক্ষণাবেক্ষণ তাঁর জন্য বোঝা হয় না। আর তিনি সুউচ্চ সুমহান।(২)


..............................
(২) সূরা আল-বাকারা, আযাত: ২৫৫। রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেন: ‘যে কেউ যখন রাতে আপন বিছানায় যাবে এবং ‘আয়াতুল কুরসী’ পড়বে, তখন সে রাতের পুরো সময় আল্লাহর পক্ষ থেকে তার জন্য হেফাযতকারী থাকবে; আর সকাল হওয়া পর্যন্ত শয়তান তার নিকটেও আসতে পারবে না’। বুখারী, (ফাতহুল বারীসহ), ৪/৪৮৭, হাদীস নং ২৩১১।",২৮- ঘুমানোর যিকিরসমূহ
3,"১০১-(৩) রাসূল তার প্রভুর পক্ষ থেকে যা তার কাছে নাযিল করা হয়েছে তার উপর ঈমান এনেছেন এবং মুমিনগণও। প্রত্যেকেই ঈমান এনেছে আল্লাহ্র উপর, তাঁর ফিরিশতাগণ, তাঁর কিতাবসমূহ এবং তাঁর রাসূলগণের উপর। আমরা তাঁর রাসূলগণের কারও মধ্যে তারতম্য করি না। আর তারা বলে, আমরা শুনেছি ও মেনে নিয়েছি। হে আমাদের রব! আপনার ক্ষমা প্রার্থনা করি এবং আপনার দিকেই প্রত্যাবর্তনস্থল। আল্লাহ্ কারো উপর এমন কোন দায়িত্ব চাপিয়ে দেন না যা তার সাধ্যাতীত। সে ভাল যা উপার্জন করে তার প্রতিফল তারই, আর মন্দ যা কামাই করে তার প্রতিফল তার উপরই বর্তায়। ‘হে আমাদের রব! যদি আমরা বিস্মৃত হই অথবা ভুল করি তবে আপনি আমাদেরকে পাকড়াও করবেন না। হে আমাদের রব! আমাদের পূর্ববর্তীগণের উপর যেমন বোঝা চাপিয়ে দিয়েছিলেন আমাদের উপর তেমন বোঝা চাপিয়ে দিবেন না। হে আমাদের রব! আপনি আমাদেরকে এমন কিছু বহন করাবেন না যার সামর্থ আমাদের নেই। আর আপনি আমাদের পাপ মোচন করুন, আমাদেরকে ক্ষমা করুন, আমাদের প্রতি দয়া করুন, আপনিই আমাদের অভিভাবক। অতএব কাফির সম্প্রদায়ের বিরুদ্ধে আমাদেরকে সাহায্য করুন।(১)


..............................
(১) সূরা আল-বাকারা, আয়াত: ২৮৫-২৮৬। রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেন: যে ব্যক্তি রাতের বেলা সূরা বাকারার শেষ দুটি আয়াত পড়বে, তা তার জন্য যথেষ্ট হবে। বুখারী, ফাতহুল বারীসহ, ৯/৯৪, ৪০০৮; সহীহ মুসলিম ১/৫৫৪, হাদীস নং ৮০৭।",২৮- ঘুমানোর যিকিরসমূহ
4,"১০২-(৪) আমার রব! আপনার নামে(২) আমি আমার পার্শ্বদেশ রেখেছি (শুয়েছি) এবং আপনারই নাম নিয়ে আমি তা উঠাবো। যদি আপনি (ঘুমন্ত অবস্থায়) আমার প্রাণ আটকে রাখেন, তবে আপনি তাকে দয়া করুন। আর যদি আপনি তা ফেরত পাঠিয়ে দেন, তাহলে আপনি তার হেফাযত করুন যেভাবে আপনি আপনার সৎকর্মশীল বান্দাগণকে হেফাযত করে থাকেন।(৩)


..........................
(২) রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেন: ‘তোমাদের কোনো ব্যক্তি তার বিছানা ত্যাগ করলো, আবার ঘুমাতে ফিরে এলো সে যেনো  তার চাদর বা লুঙ্গির আঁচল দিয়ে তিনবার বিছানাটি ঝেড়ে নেয়। আর যেন সে বিসমিল্লাহ পড়ে, (আল্লাহর নাম নেয়); কেননা সে জানে না যে, তার চলে যাবার পর এতে কী পতিত হয়েছে। তারপর সে যখন শোয়, তখন যেনো এ দো‘আটি বলে। (হাদীসে বর্ণিত صنفة إزاره শব্দের অর্থ হচ্ছে, চাদরের পার্শ্বদিকস্থ অংশ। এর জন্য দেখুন, নিহায়া ফী গারিবিল হাদীস ওয়াল আসার’ ‘صنف’।)
(৩) সহীহ বুখারী, ফাতহুল বারীসহ ১১/১২৬, হাদীস নং ৬৩২০; সহীহ মুসলিম ৪/২০৮৪, হাদীস নং ২৭১৪।",২৮- ঘুমানোর যিকিরসমূহ
5,"১০৩-(৫) হে আল্লাহ! নিশ্চয় আপনি আমার আত্মাকে সৃষ্টি করেছেন এবং আপনি তার মৃত্যু ঘটাবেন। তার মৃত্যু ও তার জীবন আপনার মালিকানায়। যদি তাকে বাঁচিয়ে রাখেন তাহলে আপনি তার হিফাযত করুন, আর যদি তার মৃত্যু ঘটান তবে তাকে মাফ করে দিন। হে আল্লাহ! আমি আপনার কাছে নিরাপত্তা চাই।(১)


.............................
(১) সহীহ মুসলিম ৪/২০৮৩, হাদীস নং ২৭১২; আহমাদ, তাঁর শব্দে ২/৭৯, হাদীস নং ৫৫০২।",২৮- ঘুমানোর যিকিরসমূহ
6,"১০৪-(৬) হে আল্লাহ!(২) আমাকে আপনার আযাব থেকে রক্ষা করুন, যেদিন আপনি আপনার বান্দাদেরকে পুনর্জীবিত করবেন।(৩)


.........................
(২) রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম যখন ঘুমানোর ইচ্ছা করতেন তখন তাঁর ডান হাত তাঁর গালের নিচে রাখতেন, তারপর এ দো‘আটি বলতেন।
(৩) আবূ দাউদ, শব্দ তারই, ৪/৩১১, হাদীস নং ৫০৪৫; তিরমিযী, হাদীস নং ৩৩৯৮; আরও দেখুন, সহীহুত তিরমিযী, ৩/১৪৩; সহীহ আবী দাঊদ, ৩/২৪০।",২৮- ঘুমানোর যিকিরসমূহ
7,"১০৫-(৭) হে আল্লাহ ! আপনার নাম নিয়েই আমি মরছি (ঘুমাচ্ছি) এবং আপনার নাম নিয়েই জীবিত (জাগ্রত) হবো।(৪)


.......................
(৪) সহীহ বুখারী (ফাতহুল বারীসহ) ১১/১১৩, হাদীস নং ৬৩২৪; সহীহ মুসলিম ৪/২০৮৩, হাদীস নং ২৭১১।",২৮- ঘুমানোর যিকিরসমূহ
8,"১০৬-(৮) আল্লাহ অতি-পবিত্র (৩৩ বার), সকল প্রশংসা আল্লাহর জন্য (৩৩ বার), আল্লাহ অতি-মহান (৩৪ বার)।(১)


...........................
(১) রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম আলী এবং ফতেমাকে বলেন:  আমি কি তোমাদেরকে এমন কিছু বলে দিবো না যা তোমাদের জন্য খাদেম অপেক্ষাও উত্তম হবে? যখন তোমরা তোমাদের বিছানায় যাবে, তখন তোমরা দু’জনে ৩৩ বার সুবহানাল্লাহ, ৩৩ বার আলহামদু লিল্লাহ, এবং ৩৪ বার বলবে, যা তা খাদেম অপেক্ষাও তোমাদের জন্য উত্তম হবে’’। বুখারী, (ফাতহুল বারীসহ) ৭/৭১, হাদীস নং ৩৭০৫; সহীহ মুসলিম ৪/২০৯১, হাদীস নং ২৭২৬।",২৮- ঘুমানোর যিকিরসমূহ
9,"১০৭-(৯) হে আল্লাহ! হে সপ্ত আকাশের রব্ব, যমিনের রব্ব, মহান ‘আরশের রব্ব, আমাদের রব্ব ও প্রত্যেক বস্তুর রব্ব, হে শস্য-বীজ ও আঁটি বিদীর্ণকারী, হে তাওরাত, ইনজীল ও কুরআন নাযিলকারী, আমি প্রত্যেক এমন বস্তুর অনিষ্ট থেকে আপনার নিকট আশ্রয় প্রার্থনা করি, যার (মাথার) অগ্রভাগ আপনি ধরে রেখেছেন (নিয়ন্ত্রণ করছেন)। হে আল্লাহ! আপনিই প্রথম, আপনার পূর্বে কিছুই ছিল না; আপনি সর্বশেষ, আপনার পরে কোনো কিছু থাকবে না; আপনি সব কিছুর উপরে, আপনার উপরে কিছুই নেই; আপনি সর্বনিকটে, আপনার চেয়ে নিকটবর্তী কিছু নেই, আপনি আমাদের সমস্ত ঋণ পরিশোধ করে দিন এবং আমাদেরকে অভাবগ্রস্ততা থেকে অভাবমুক্ত করুন।(১)


...........................
(১) সহীহ মুসলিম ৪/২০৮৪, হাদীস নং ২৭১৩।",২৮- ঘুমানোর যিকিরসমূহ
10,"১০৮-(১০) সকল প্রশংসা আল্লাহর জন্য, যিনি আমাদেরকে আহার করিয়েছেন, পান করিয়েছেন, আমাদের প্রয়োজন পূর্ণ করেছেন এবং আমাদেরকে আশ্রয় দিয়েছেন। কেননা, এমন বহু লোক আছে যাদের প্রয়োজনপূর্ণকারী কেউ নেই এবং যাদের আশ্রয়দানকারীও কেউ নেই।(২)


..............................
(২) সহীহ মুসলিম ৪/২০৮৫, হাদীস নং ২৭১৫।",২৮- ঘুমানোর যিকিরসমূহ
