id,thikr,at
1,"Svake noći kad bi, Poslanik, Allah mu se smilovao i spasio ga, pošao na spavanje i legao u postelju,  sastavio  bi  otvorene dlanove prema licu, puhnuo u njih  i proučio (u njih) suru Ihlas, Felek i Nas, te potom potrao dlanovima svoje tijelo koliko može dohvatiti, počevši od glave i prednjeg dijela tijela; to bi ponovio tri puta.",DOVE PRED ODLAZAK NA SPAVANJE
2,Ajetul-kursij,DOVE PRED ODLAZAK NA SPAVANJE
3,Posljednja dva ajeta sure El-bekare.,DOVE PRED ODLAZAK NA SPAVANJE
4,"Bi-smike Rabbi veda’tu dženbi ve bike erfe’uhu, fe in emsekte nefsi fe-rhamha ve in erselteha fa-hfazha bima tahfezu bihi ibadeke-s-salihine - S Tvojim imenom, Gospodaru moj, legoh na bok i ako bude Tvoja volja, podići ću  se. Ako  uzmeš moju dušu,  budi  milostiv prema njoj, a ako je vratiš, zaštiti je kao što si zaštitio Svoje dobre robove!",DOVE PRED ODLAZAK NA SPAVANJE
5,"Allahumme inneke halakte nefsi ve Ente tev-effaha. Leke mematuha ve mahjaha, in ahjejt- eha fa-hfazha ve in emetteha fa-gfir leha. Allahumme inni es eluke-l-afijete - Allahu, Ti si, doista, stvorio moju dušu i Ti je umrtvljuješ. Tebi pripada njena smrt i njen život, pa ako je oživiš - zaštiti je, a ako je umrtviš - oprosti joj. Allahu, Tebe molim za oprost!",DOVE PRED ODLAZAK NA SPAVANJE
6,"Allahumme kini azabeke jevme teb’asu ibadeke - Allahu, sačuvaj me od kazne Svoje na dan kada budeš oživio Svoje robove.",DOVE PRED ODLAZAK NA SPAVANJE
7,"Bismike-l-Lahumme emutu ve ahja - S Tvojim imenom, Allahu moj, umirem i živim.",DOVE PRED ODLAZAK NA SPAVANJE
8,"Subhana-l-Lah” (33x), “El-hamdu li-l-Lahi” (33) i “Allahu ekber” (34)",DOVE PRED ODLAZAK NA SPAVANJE
9,"Allahumme Rabbe-s-semavati-s-seb’i ve Rabbe-l-arši-l-azimi, Rabbena ve Rabbe kulli šej‘in, Falika-l-habbi ve-n-nava ve Munezzile- t-Tevrati ve-l-Indžili ve-l-Furkani: E’uzu bike min šerri kulli šej‘in, Ente ahizun bi nasijetihi, Allahumme Ente-l-Evvelu fe lejse kableke šej‘un, ve Ente-l-Ahiru fe lejse ba’deke šej‘un, ve Ente-z-Zahiru fe lejse fevkake šej‘un, ve Ente-l-Batinu fe lejse duneke šej‘un, ikdi anne-d-dejne ve agnina mine-l-fakri - Allahu ,  Gospodaru sedam nebesa i Prijestolja  velikog, Gospodaru naš i svega što postoji, Ti Koji daješ da zrnevlje i koštice proklijaju, Objavitelju Tevrata, Indžila i Furkana (Kur’ana) - Tebi se sklanjam pred zlom svačijim, Ti si Taj Koji svim upravljaš, Allahu moj, Ti si Prvi, i prije Tebe nije bilo ništa, Ti si Posljednji, i poslije Tebe neće biti ničeg, Ti si Vidljivi, i iznad Tebe ne postoji ništa, Ti si Skriveni, i bez Tebe ništa ne postoji, oslobodi nas duga i učini nas neovisnim o siromaštvu!",DOVE PRED ODLAZAK NA SPAVANJE
10,"El-hamdu li-l-Lahi-l-lezi at’amena ve sekana ve  kefana ve avana, fe kem mimmen (min men) la kafije lehu ve la mu vi - Hvala Allahu, Koji nas nahrani i napoji, te Koji Sebe učini nama dostatnim i Koji nam se smilova. Ta, koliko je onih koji za sebe nemaju zaštitnika i skrbnika!",DOVE PRED ODLAZAK NA SPAVANJE
11,"Allahumme’ Alime-l-gajbi ve-š-šehadeti, Fatire- s-semavati ve-l-erdi, Rabbe kulli šej’in ve melikehu, ešhedu en la ilahe illa Ente. E’uzu bike min šerri nefsi ve min šerri-š-šejtani ve širkihi ve en akterife ‘ala nefsi suen ev edžurrehu ila muslim - Allahu, Poznavaoče skrivenog i pojavnog, Stvaratelju nebesa i Zemlje, Gospodaru svega i njegov Posjedovatelju, svjedočim da nema boga koji istinski zaslužuje da se obožava osim Tebe. Tebi se sklanjam pred zlom duše moje i pred zlom šejtana i njegova mnogoboštva, da sebi učinim zlo ili da u zlo uvučem bilo kog muslimana.",DOVE PRED ODLAZAK NA SPAVANJE
12,Prouči dvije sure: Es-Sedžda i Tebareke (El-Mulk).,DOVE PRED ODLAZAK NA SPAVANJE
13,"Allahumme eslemtu nefsi ilejke ve fevvadtu emri ilejke ve vedždžehtu vedžhi ilejke ve eldže tu zahri ilejke ragbeten ve rehbeten ilejke, la meldžee ve la mendža minke illa ilejke. Amentu bi Kitabike-l-lezi enzelte ve bi Nebijjike-l-lezi erselte - Allahu, Tebi predadoh dušu svoju, i oporučih stanje svoje, i upravih lice svoje, i prepustih (sklonih) leđa svoja iz želje i straha, jer nema skloništa ni spasilišta pred Tobom osim kod Tebe. Vjerujem u Tvoju Knjigu, koju si spustio, i u Tvoga Vjerovjesnika, koga si poslao",DOVE PRED ODLAZAK NA SPAVANJE
14,Proučiti ajetu-l-kursiju.,DOVE KOJE SE UČE JUTROM I NOĆU
15,"Proučiti sure Kul Huve-l-Lahu Ehad, Kul e’uzu bi Rabbi-l-felek, Kul euzu bi Rabbi-n-nas, - po tri puta jutrom i večerom.",DOVE KOJE SE UČE JUTROM I NOĆU
16,"Asbahna ve asbeha-l-mulku li-l-Lahi (a za večernju: Emsejna ve emse-l-mulku li-l-Lahi), ve-l-hamdu li-l-Lahi, la ilahe ille- l-Lahu vahdehu la šerike lehu. Lehu-l-mulku ve lehu-l-hamdu ve huve ala kulli šej‘in kadir. Rabbi es eluke hajre ma fi hazel jevmi ve hajre ma ba'dehu (po noći: hajre ma fi hazihi-l-lejleti ve hajre ma ba’deha,) Ve e’uzu bike min šerri ma fi hazel jevmi ve šerri ma ba'dehu (po noći: ma fi hazihi-l-lejleti ve šerri ma ba’deha.) Rabbi e’uzu bike mine-l-keseli ve su i-l-kiberi. Rabbi e’uzu bike min ‘azabin fi-n-nari ve ‘azabin fi-l-kabri - Jutro dočekasmo i jutro dočeka svekolika vlast Allahova (a u večernjoj dovi reći će se: U noć uđosmo i noć dočeka svekolika vlast Allahova  ). Hvala Allahu i nema boga koji istinski zaslužuje da se obožava osim Allaha Jedinog, Koji druga nema. Njemu pripada sva vlast i svaka zahvalnost i on nad svačim ima moć. Allahu, molim Te za sva dobra ovog dana (noći) i za dobra poslije njega (nje). I utičem Ti se od svakog zla ovog dana (noći) i zla poslije njega (nje).Gospodaru moj, Tebi se sklanjam pred lijenošću i zlohudom ohološću. Tebi se sklanjam predkaznom Džehennema i kaburskom kaznom.",DOVE KOJE SE UČE JUTROM I NOĆU
17,"Allahumme bike asbahna ve bike emsejna, ve bike nahja ve bike nemutu ve ilejke-n-nušuru” (tako počinje jutarnja dova, a noćna: “Allahumme bike emsejna ve bike asbahna ve bike nahja ve bike nemutu ve ilejke-l-mesiru”) 
Allahu, Tvojom voljom jutro dočekasmo i Tvojom voljom u noć uđosmo. Tvojom voljom živimo, po Tvojoj volji umiremo i po Tvojoj volji bivamo ponovo proživljeni (a noćna glasi: Allahu, Tvojom voljom u noć ulazimo i jutro dočekujemo, Tvojom voljom živimo i umiremo i Tebi se vraćamo).",DOVE KOJE SE UČE JUTROM I NOĆU
