id,thikr,at
1,99—每晚上床时，捧双手，轻轻的吹，并念“忠诚章”与两个“求护章”，然后用两手尽量抚摸头、脸及周身，这样连摸三次。（布哈里、穆斯林）,二十八、	睡觉时念的祷词
2,100—念阿也提“库勒西”，谁念，谁便得到真主的保护。（布哈里）,二十八、	睡觉时念的祷词
3,101—念“黄牛章”最后两节经文。（布哈里、穆斯林）,二十八、	睡觉时念的祷词
4,102—主啊！奉你的尊名，我睡下，奉你的尊名，我起床。如果你真召回我的生命，求你加惠他；如果你释放时，求你保护他，犹如你保护你的善民一般！（布哈里、穆斯林）,二十八、	睡觉时念的祷词
5,103—主啊！你造化了我的身体，你将要使它死亡，它的生死只归你。如果你让它活的话，求你保护它；如果你让它死亡的话，求你恕饶它！主啊！我向你祈求安康。（穆斯林、爱合麦德）,二十八、	睡觉时念的祷词
6,104—主啊！你复生众仆之日，求你保护我免遭你的刑罚。（穆圣※睡觉时，把右手放在右面颊下面连念三次）（艾布达伍德、铁密集）,二十八、	睡觉时念的祷词
7,105—主啊！我以你的尊名而死而活。（布哈里、穆斯林）,二十八、	睡觉时念的祷词
8,106—“赞主清净”、“万赞归主”，（各念三十三次）“真主至大”（三十四次）（布哈里、穆斯林）,二十八、	睡觉时念的祷词
9,107—主啊！养育诸天的主啊！养育伟大的“阿勒什”的主，我们的养主，养育万物的主，使谷粒和果核绽开的主，颁降《讨拉特》、《引支勒》和《古兰经》的主啊！求你保佑我勿遭万物之灾害，你操纵万物的命运，你是前无始、后无终的主，你是明显、暗藏的，你替我偿债，你使我富裕，莫使我贫穷。（穆斯林）,二十八、	睡觉时念的祷词
10,108—感赞真主！他供我吃饮，并使我满足，又庇护我，许多人没有庇护者，也没有使他满足者。（穆斯林）,二十八、	睡觉时念的祷词
11,109—⑪主啊！深知幽玄、公开的主，创天设地的主。调养万物的，掌握万物的主，我见证：除你外，绝无应受崇拜的，我求你保护，免遭私欲和恶魔等的干 扰。免陷迷误，并向你求护佑，勿使我自招祸患或嫁祸于人。 (艾布达伍德、铁密集）,二十八、	睡觉时念的祷词
12,110—⑫念“叩头章”（三十二节）与“国权章”（六十七章）（铁密集、奈萨仪）,二十八、	睡觉时念的祷词
13,111—⑬主啊！我把生命教给你，我面向你，我把事业托付给你，我依靠你，希望你的仁慈，害怕你的惩罚，除你外，没有容身之所和避难之处，我归信你降示的经典，你差遣的圣人。（布哈里、穆斯林）,二十八、	睡觉时念的祷词
14,75—念“求护词”，“阿也提库勒西”。（哈）,二十七、	早、晚的记主词
15,76—念“台斯米、忠诚章”以及两个“求护章”。（每天早晚各念三次。）（艾、铁）,二十七、	早、晚的记主词
16,77—我早起床，早起权威只归真主。感赞真主！除真主外，绝无应受崇拜的，独一无偶，国权与赞颂只归他，无所不能的主。主啊！我向你要求今天的幸福和以后的幸福！我向你求保护，今天和以后免遭伤害！主啊！求你保护莫让我懒惰，免遭老迈的困难！主啊！求你保护我免遭坟坑的磨难与火狱的罪刑！（穆斯林）,二十七、	早、晚的记主词
17,78—主啊！我们依你早起，依你入夜，依你生活，以你而死亡，将来向你集合。（铁）,二十七、	早、晚的记主词
18,79—主啊！你是我的主，除你外，绝无应受崇拜的， 你造化了我，我是你的仆人，我尽量实践对你的诺言和许约。我求你保护我，以免犯罪而受害，我即承认你对我的恩惠，也承认自己的罪过，那么，求你恕饶我！只有你才能恕饶我的一切罪恶。（布哈里）,二十七、	早、晚的记主词
19,80—主啊！我早起了，我请你和担负你的“阿勒什”(宝座）的天使和众天使，以及万物见证：“你是真主，唯你是主，独一无偶，穆罕默德※是你的仆人和使者。 (每天早晚念）（布、艾、奈）,二十七、	早、晚的记主词
20,81—主啊！早晚我和任何人所享受的恩惠都是来自于你，独一无二的主，感赞你！（艾、奈）,二十七、	早、晚的记主词
21,82—主啊！求你使我的身体安康，使我耳聪目明，唯你是受拜者！主啊！我向你祈求免遭叛教、贫困。 主啊！我向你祈求免遭坟墓的刑罚，除你外，绝无应受崇拜的。（三次）（艾、爱、奈）,二十七、	早、晚的记主词
22,83—真主是使我满足的，除他外，绝无应受崇拜的， 我只托靠他，他是掌握伟大宝座的主。（七次）（伊本西那圣训集）,二十七、	早、晚的记主词
23,84—主啊！我向你祈求今后两世的安康，主啊！我向你祈求赦宥，使我宗教昌盛，政通人和，人财两旺。主啊！你袒护我的缺点，解除我的恐惧。主啊!求 你从前后、左右、上面保护我，我以你的尊严求你护佑，使我免遭地陷。（艾、伊）,二十七、	早、晚的记主词
24,85—⑪主啊！深知幽玄、公开的主，创天设地的主。调养万物的，掌握万物的主，我见证：除你外，绝无应受崇拜的，我求你保护，免遭私欲和恶魔等的干 扰。免陷迷误，并向你求护佑，勿使我自招祸患或嫁祸于人。 (铁、艾）,二十七、	早、晚的记主词
25,86—⑫奉真主尊名，真主的尊名能预防天地的任何灾祸，真主是全听的、全知的。（每天早晚念三次）（艾、 铁、伊、爱）,二十七、	早、晚的记主词
26,87—⑬我喜爱以安拉为主宰，以穆罕默德※为圣人，以伊斯兰为宗教。（每天早晚念三次）（爱、奈、艾、 铁）,二十七、	早、晚的记主词
27,88—⑭永生自立的主啊！我以你的慈悯求救！请你照管我的全部事务，一刻也不要放任我！（哈）,二十七、	早、晚的记主词
28,89—⑮我早起了，早起的权威只归真主一养育全世界的主。主啊！我向你要求今天的福泽，援助、光亮、吉祥和正道。主啊！我向你要求免遭今后的伤害。 (艾）,二十七、	早、晚的记主词
29,90—⑯我们早起坚持伊斯兰的天性，忠诚之言辞，坚持我们的先知穆罕默德的宗教，他绝不是以物配主者。 (爱、伊本西那圣训集）,二十七、	早、晚的记主词
30,91—⑰赞主清净，感赞他。（早晚念一百次）（穆斯林）,二十七、	早、晚的记主词
31,92—⑱除真主外，绝无应受崇拜的，独一的主，国权只归他！万赞只归他！他是能够万事的主。（十次）或(懶惰时念一次）（奈、艾、爱、伊）,二十七、	早、晚的记主词
32,93—⑲除真主外，绝无应受崇拜的，独一的主，国权只归他！万赞只归他！他是能够万事的主。（十次）或(懶惰时念一次）（布哈里、穆斯林）,二十七、	早、晚的记主词
33,94—⑳赞颂伟大的真主超绝万物！以万物的数字，真主的喜悦，“阿勒史”的斤量，以及他的言辞的墨汁的数字，感赞真主！（早晚时念三次）（穆斯林）,二十七、	早、晚的记主词
34,73—主啊！我向你祈求有益的知识，佳美的食物和被接受的工作。（晨礼后念）（伊）,二十七、	早、晚的记主词
35,96—22我向真主求饶！我向他忏悔！（每日念一百次）（布哈里、穆斯林）,二十七、	早、晚的记主词
36,97—23我以真主的完美的一切言辞求保护免遭被造物的伤害！（晚上念十次）（爱、奈）,二十七、	早、晚的记主词
37,98—主啊！求你賜福我们的圣人穆罕默德※。（早晚念十次）（托布拉尼以两个正确线索传述）,二十七、	早、晚的记主词
