id,thikr,at
1,"Ya hada hannayansa sannan yai tofi a cikinsu sannan ya karanta Kulhuwa uku, Falaki Uku, Nasi Uku sannan ya shafi ko'ina ajinsa da zai iya, kuma zai yi hakan sau uku",Zikiran Bacci
2,Ayatl Kursiyyu,Zikiran Bacci
3,Ya karanta Amanarrasulu,Zikiran Bacci
4,"Da sunanka ya Ubangiji na kwantar da hakarkarina, da kuma ikonka zan daga shi, idan ka amshi raina to kayi masa gafara, in kuma ka kyale shi to ka kiyaye shi da abinda kake kiyaye bayinka Nagartattu.",Zikiran Bacci
5,"Ya ubangiji kaine ka halicci raina kuma kai ne zaka karbeta, a hannunka rayuwarta da Mutuwarta ya ke, in ka rayar da ita to ka kare ta in kuma ka karbeta to kayi mata gafara, Ya Ubangiji ina neman lafiya.",Zikiran Bacci
6,Allah ka tsare ni Azabarka ranar da zaka tashi bayinka,Zikiran Bacci
7,Da sunanka Allah Zan Mutu kuma da shi an rayu,Zikiran Bacci
8,Tsarki ya tabbata ga Allah (33) Godiya ta tabbat ga Allah (33) Allah shi ne mafi girma (33),Zikiran Bacci
9,"Ya ubangiji Ubangijin Sammai bakwai da kasa kuma Ubangijin Al'arshi mai girma, Ubangijin komai, wanda ya fitar da kwaya daga kalwadi, wanda ya saukar da Attaura da linjila da Qurani , ina neman tsarinka daga daga sharrin duk wani da makwankwadarsa take hannunka, ya Ubangiji kaine na farko babu kuma wani dake kafinka, kuma kaine na karshe babu wanda yake a bayanka, kumakaine bayyananne wanda babu wani abu a samansa, kuma kaine boyayyen da babu wani abu bayanka, ka biaya mana bashi kuma ka wadata mu daga Talauci",Zikiran Bacci
10,"Godiya ta tabbata ga Allah wanda ya ciyar da mu kuma ya shar da mu, kuma ya bamu wurin zama, sabida akwai da yawa da basu da abinda zasu ci da inda zasu zauna",Zikiran Bacci
