id,thikr,at
1,"99. (अपनी दोनों हथेलियों को मिलाकर उनमें फ़ूंक मारे, फिर उनमें पढ़ेः अल्लाह के नाम से शुरू करता हूं, जो बड़ा दयालू एवं बहुत रह़म करने वाला है। (आप कह दीजिए वो अल्लाह एक है।अल्लाह तआला बेनियाज़ है। न उसकी कोई औलाद है और न वह किसी की औलीद है और न उसका कोई समकक्ष (हमसर) है।) अल्लाह के नाम से शुरू करता हूं, जो बड़ा दयालू एवं बहुत रह़म करने वाला है। (आप कह दीजिए कि मैं सुबह़ के रब की पनाह में आता हूं हर उस चीज़ की बुराई से जो उसने पैदा की है, और अंधेरे रात की बुराई से जब उसका अंधकार फैल जाए और गांठ लगाकर उनमें फूंकने वालिय़ों की बुराई से और ह़सद करने वाले की बुराई से जब वो ह़सद करे।) अल्लाह के नाम से शुरू करता हूं, जो बड़ा दयालू एवं बहुत रह़म करने वाला है। (आप कह दीजिए कि मैं लोगों के रब, लोगों के मालिक और लोगों के माबूद की पनाह में आता हूं, वस्वसा डालने वाले और पीछे हट जाने वाले की बुराई से, जो लोगों के सीनों में वस्वसा डालता है (चाहे) वह जिन्न में से हो या मानव में से।) (फिर दोनों हथेलियों को अपने बदन पर जहां तक हो सके फेरे। सर, चेहरा और बदन के सामने वाले ह़िस्से से शुरू करे।) (इस प्रकार तीन बार करे।) (1)
...........................
(1) बुखारी फ़त्ह़ुल-बारी के साथः9/62, हदीस संख्याः5017, मुस्लिमः हदीस संख्याः2192",सोने के समय की दुआएँ ।
2,"100. (अल्लाह के सिवा कोई इबादत के लायक़ नहीं, वह हमेशा ज़िन्दा रहने वाला है, सबको क़ायम रखने वाला है। उसको न ऊंघ आती है, न नींद। आस्मान और ज़मीन की सब चीजें उसी की हैं। कौन है जो उसकी इजाज़त के बग़ैर उसके पास किसी सिफ़ारिश करे? वह उन चीज़ों को जानता है जो लोगों के सामने हैं और जो उनके पीछे हैं। और लोग उसके इल्म में से किसी चीज़ पर पहुंच नहीं रखते, मगर जितना वो खुद चाहे। उसकी कुर्सी ने आस्मानों और ज़मीन को अपने घेरे में ले रखा है। और उन दोनों की हिफ़ाज़त उसको थका नहीं सकती और वह बुलन्द एवं अज़मत वाला है।) (1)
............................
(1) सूरा बक़रा, आयत संख्याः255 अगर कोई आदमी सोने के लिए बिस्तर पर जाते समय इस दुआ को पढ़ ले तो अल्लाह की ओर से उसके लिए एक मुह़ाफिज़ (संरक्षक) मुक़र्रर (नियुक्त) हो जाता है और सुबह़ तक उसके क़रीब शैतान नहीं आ सकता। बुखारी फ़त्ह़ुल-बारी के साथः4/487, ह़दीस संख्याः2311",सोने के समय की दुआएँ ।
3,"101. (रसूल उस चीज़ पर ईमान लाए जो उसकी ओर अल्लाह की तरफ़ से उतारी गई और मुसलमान भी ईमान लाए। सब अल्लाह, उसके फ़रिशतों, उसकी किताबों और उसके रसूलों पर ईमान लाए। उसके रसूलों में से किसी के मध्य हम मतभेद नहीं करते। उन्होंने कहा कि हमने सुना और फ़रमांबरदारी की। ऐ हमारे रब! हम तुझसे क्षमा चाहते हैं और हमें तेरी ही ओर लौटना है। अल्लाह किसी प्राणी पर उसकी शक्ती से अधिक बोझ नहीं डालता। जो नेकी वह करेगा वह उसी के लिए है और जो बुराई वह करेगा वह उसी पर है। ऐ हमारे रब! अगर हम भूल गए हों या ग़लती की हो तो हमें न पकड़ना। ऐ हमारे रब! हम पर वह बोझ न डाल, जो हमसे पहले लोगों पर डाला था। ऐ हमारे रब! हम पर वह बोझ न डाल जिसकी हमें शक्ति नहीं हमें माफ़ कर दे, हमें बख़्श दे और हम पर दया कर, तू ही हमारा मालिक है, हमें काफ़िर समुदाय पर विजय प्रदान कर।) (1)
.....................................
(1) जो आदमी यह दोनों आयतें रात में पढ़ ले, उसके लिए यह आयतें काफ़ी हो जायेंगी। बुखारी फ़त्ह़ुल-बारी के साथः9/94, हदीस संख्याः4008, मुस्लिमः1/554, हदीस संख्याः807, दोनों आयतें सूरा बक़रा की हैं। आयत संख्याः285,286",सोने के समय की दुआएँ ।
4,"102. (ऐ मेरे रब! तेरे नाम से (1) मैंने अपना पहलू (करवट) रखा और तेरी ही तौफ़ीक़ से इसे उठाऊंगा। इस लिए अगर तू मेरी जान (प्राण) को रोक ले तो उस पर रह़म कर और अगर उसे छोड़ दे तो तू उसकी ह़िफ़ाज़त कर, जैसा कि तू अपने नेक बन्दों की ह़िफ़ाज़त करतार है।) (2)
..................................
(1) (जब तुम में से कोई आदमी अपने बिस्तर से उठे और फिर दोबारा उसकी जाए तो उसे अपने तहबन्द के किनारे से तीन बार झाड़ ले और बिस्मिल्लाह कहे, क्योंकि उसे पता नहीं कि उसके बाद उसपर कौन सी चीज़ आ गई हो और जब बिस्तर पर लेटे तो यह दुआ पढ़े...।)
(2) बुखारी फ़त्ह़ुल-बारी के साथः11/126, हदीस संख्याः6320, मुस्लिमः4/2084, हदीस संख्याः2714,",सोने के समय की दुआएँ ।
5,"103. (ऐ अल्लाह! तूने ही मेरी जीन (प्राण) पैदा की और तू ही इसे मौत देगा। तेरे ही क़ब्ज़् में इसे मारना औऱ ज़िन्दा रखना है। अगर तू इसे ज़िन्दा रखे तो इसकी ह़िफ़़ीज़त कर और अगर इसे मौत दे तो इसे बख़्श दे। ऐ अल्लाह, मैं तुझसे आफ़ियत का सवाल करता हूं।) (1)
.............................
(1)  मुस्लिमः4/2083, हदीस संख्याः2712, शब्द अह़मद के हैंः2/79, हदीस संख्याः5502",सोने के समय की दुआएँ ।
6,"104. (ऐ अल्लाह! मुझे (उस दिन) अपने अ़ज़ाब से बचा (1), जिस दिन तू अपने बन्दों को उठायेगा) (2)
................................
(1) रसूलुल्लीह सल्लल्लाहु अलैहि व सल्लम जब सोने का इरादा करते, अपना दायां हाथ अपने रुख़्सार के नीचे रखते, फिर ये दुआ पढ़तेः...)
(2) अबू दाऊदः4/311, हदीस संख्याः1495, ‏‏शब्द इसी के हैं, तिर्मिज़ी ,हदीस संख्याः3398, देखिएः सह़ीह़ तिर्मिज़ीः3/143 एवं सह़ीह़ अबू दाऊदः3/240",सोने के समय की दुआएँ ।
7,"105. (ऐ अल्लाह! मैं तेरे ही नाम से मरता हूं और ज़िन्दा होता हूं।) (1)
...............................
(1) बुखारी फ़त्ह़ुल-बारी के साथः11/113, हदीस संख्याः6324, मुस्लिमः4/2083, हदीस संख्याः2711,",सोने के समय की दुआएँ ।
8,"106. (अल्लाह पाक है (तेंतीस बार)। सब तारीफ़ अल्लाह के लिए है (तेंतीस बार)। अल्लाह सबसे बड़ा है (चौंतीस बार)।) (1)
..........................
(1) जो आदमी बिस्तर पर लेटते हुए इस दुआ को पढ़े तो यह उसके लिए ख़ादिम से बेहतर है। बुखारी फ़त्ह़ुल-बारी के साथः7/71, हदीस संख्याः3705, मुस्लिमः4/2091, हदीस संख्याः2726",सोने के समय की दुआएँ ।
9,"107. (ऐ अल्लाह! ऐ सातों आस्मानों के रब और अर्शे अज़ीम के रब! ऐ हमारे और हर चीज़ के रब! दाने और गुठली को फाड़ने वाले! तौरात, इन्जील और फुरक़ान (क़ुरआन) उतारने वाले! मैं हर उस चीज़ की बुरीई तथा शर से तेरी पनाह चाहता हूं, जिसकी पेशानी तू पकड़े हुए है। ऐ अल्लाह! तू ही प्रथम है, तुझसे पहले कोई चीज़ नहीं और तू ही अन्तिम है, तेरे बाद कोई चीज़ नहीं। तू ही ज़ाहिर है, तुझसे ऊपर कोई चीज़ नहीं और तू ही बातिन (छिपा) है, तुझसे छिपी कोई चीज़ नहीं। हमारा क़र्ज़ अदा कर दे और हमें मुह़ताजगी से (निकाल कर) ग़नी कर दे।) (1)
............................
(1) मुस्लिमः4/2084, ह़दीस संख्याः2713",सोने के समय की दुआएँ ।
10,"108. (सब तारीफ़ अल्लाह के लिए है, जिसने हमें खिलाया, पिलाया, हमारे लिए काफ़ी हो गया और हमें ठिकाना दिया। कितने लोग ऐसे हैं जिन्हें कोई किफ़ायत करने वाला नहीं और न ही कोई ठिकाना देने वाला है।) (1)
.............................
(1) मुस्लिमः4/2085, ह़दीस संख्याः2715",सोने के समय की दुआएँ ।
11,"109. (ऐ अल्लाह! ऐ ग़ैब तथा ह़ाज़िर को जानने वाले! आस्मानों और ज़मीन को पैदा करने वाले! हर चीज़ के रब और मालिक! मैं गवाही देता हूं कि तेरे सिवा कोई इबादत के लायक़ नहीं। मैं तेरी पनाह मांगता हूं अपने नफ्स के शर से, शैतान के शर और उसके शिर्क से और इस बात से कि मैं अपनी जान पर कोई बुराई करूं या किसी औऱ मुसलमान के लिए बुराई का कारण बनूं।) (1)
................................
(1)  अबू दाऊदः4/317, हदीस संख्याः5067, तिर्मिज़ी हदीस संख्याः3629, देखिएः सह़ीह़ तिर्मिजीः3/142",सोने के समय की दुआएँ ।
