id,thikr,at
1,"“Kedua telapak tangannya disatukan lalu membaca: Surat Al Ikhlas, Al-Falaq dan An-Nas. Kemudian dengan dua tapak tangannya, beliau mengusap tubuh yang dapat dijangkau dengannya. Dimulai dari kepala, wajah dan tubuh bagian depan. Dilakukan tiga kali”.",DZIKIR MENJELANG TIDUR
2,"“Allah, tidak ada ilah (yang berhak disembah) melainkan Dia, yang hidup kekal lagi terus menerus mengurus (makhluk-Nya). Dia tidak mengantuk dan tidak tidur. Kepunyaan-Nya apa yang di langit dan di bumi. Tiada yang dapat memberi syafa’at di sisi-Nya tanpa seizin-Nya. Dia mengetahui apa-apa yang di hadapan mereka dan di belakang mereka. Mereka tidak mengetahui apa-apa dari ilmu Allah melainkan apa yang dikehendaki-Nya. Kursi Allah meliputi langit dan bumi. Dia tidak merasa berat memelihara keduanya. Dan Dia Maha Tinggi lagi Maha besar.” 



------------------------
1. (QS. Al Baqarah: 255) Siapa yang membacanya (ayat Kursi) saat hendak tidur, maka sesungguhnya dia selalu berada dalam perlindungan Allah dan tidak didekati setan hingga pagi hari”. HR. Bukhari 4/487.",DZIKIR MENJELANG TIDUR
3,".“Rasul telah beriman kepada Al Qur'an yang diturunkan kepadanya dari Tuhannya, demikian pula orang-orang yang beriman. Semuanya beriman kepada Allah, malaikat-malaikat-Nya, kitab-kitab-Nya, dan rasul-rasul-Nya. (Mereka mengatakan): “Kami tidak membeda-bedakan antara seorangpun (dengan yang lain) dari rasul-rasul-Nya”, dan mereka mengatakan: “Kami dengar dan kami ta’at”. (Mereka berdo’a): “Ampunilah kami ya Tuhan kami dan kepada Engkau-lah tempat kembali. Allah tidak membebani seseorang melainkan sesuai dengan kesanggupannya. Ia mendapat pahala (dari kebajikan) yang diusahakannya dan ia mendapat siksa (dari kejahatan) yang dikerjakannya. (Mereka berdoa): “Ya Tuhan kami, janganlah Engkau hukum kami, jika kami lupa atau kami tersalah. Ya Tuhan kami, janganlah Engkau bebankan kepada kami beban yang berat sebagaimana Engkau bebankan kepada orang-orang yang sebelum kami. Ya Tuhan kami, janganlah Engkau pikulkan kepada kami apa yang tak sanggup kami memikulnya. Beri maaflah kami; ampunilah kami; dan rahmatilah kami. Engkaulah Penolong kami, maka tolonglah kami terhadap kaum yang kafir“. 
--------------------------------
1. (QS. Al Baqarah: 285-286).
“Siapa yang membaca kedua ayat tersebut, maka keduanya akan mencukupinya”. HR.Bukhari 9/94 dan Muslim 1/554.",DZIKIR MENJELANG TIDUR
4,"“Dengan menyebut nama-Mu wahai Tuhanku, aku merebahkan tubuhku. Jika Engkau hendak menahan jiwaku (mencabut nyawaku) maka kasihanilah, dan jika Engkau biarkan (hidup) maka jagalah sebagaimana Engkau menjaga hamba-hamba-Mu yang shaleh“.


-----------------
1. Apabila salah seorang dari kalian bangun dari tempat tidurnya lalu dia kembali hendak tidur maka hendaklah 
2. HR. Bukhari 11/126 dan Muslim 4/2084.",DZIKIR MENJELANG TIDUR
5,"“Ya Allah, Sesungguhnya Engkau menciptakan diriku, dan Engkaulah yang akan mematikannya. Mati dan hidupnya hanya milik-Mu. Apabila Engkau menghidupkannya, maka peliharalah ia. Apabila Engkau mematikannya, maka ampunilah ia. Ya Allah, sesungguhnya aku mohon kepada-Mu keselamatan“.


----------------
1) HR. Muslim: /2083, Ahmad dengan lafaz yang sama: 2/79 no.5502.",DZIKIR MENJELANG TIDUR
6,"“Ya Allah, lindungilah aku {1}(dari) azab-Mu pada hari Engkau bangkitkan hamba-bamba-Mu“{2}. Dibaca tiga kali.



------------------
1) Apabila beliau ṣallallāhu 'alaihi wa sallam hendak tidur, beliau letakkan tangan kanannya di pipinya lalu membaca ..... Al-Hadits
2) HR. Abu Dawud: 4/311. Lihat juga Shahih Tirmidzi: 3/143.",DZIKIR MENJELANG TIDUR
7,"“Dengan nama-Mu, ya Allah, aku mati dan hidup“. (1)



------------------
1) HR. Bukhari, Fathul baari: 11/113, Muslim: 4/2083.",DZIKIR MENJELANG TIDUR
8,"“Membaca Subhanallah (33x), AlHamdulillah (33x), Allahu Akbar (33x), Siapa yang membacanya saat hendak tidur, maka hal itu lebih baik baginya dari (memiliki) seorang pembantu”. (1)



---------------
1) HR. Bukhari dalam Fathul baari: 7/71, Muslim: 4/2091.",DZIKIR MENJELANG TIDUR
9,"“Ya Allah, Tuhan yang menguasai langit yang tujuh, Tuhan yang menguasai 'Arasy yang agung, Tuhan kami dan Tuhan segala sesuatu, Tuhan yang membelah butir tumbuh-tumbuhan dan biji buah, Tuhan yang menurunkan kitab Taurat, Injil dan Furqan (Al Qur'an). Aku berlindung kepada-Mu dari kejahatan segala sesuatu yang Engkau memegang ubun-ubunnya. Ya Allah, Engkaulah yang pertama, sebelum-Mu tidak ada sesuatu. Engkaulah yang terakhir setelah-Mu tidak ada sesuatu. Engkaulah yang dzahir, diatas-Mu tidak ada sesuatu. Engkaulah yang batin, di bawah-Mu tidak ada sesuatu, lunasilah hutang kami dan berilah kami kekayaan hingga kami terlepas dari kefakiran“. (1)

------------------
1) HR. Muslim:  4/2084.",DZIKIR MENJELANG TIDUR
10,"“Segala puji hanya bagi Allah Yang telah memberi kami makan dan memberi kami minum, mencukupi kami, memberi kami tempat berteduh. Betapa banyak orang yang tidak memiliki siapa yang mencukupinya dan memberinya tempat berteduh“. (1)


------------------
1) HR. Muslim: 4/2085.",DZIKIR MENJELANG TIDUR
