id,thikr,at
1,"هنگام خوابیدن دو دستش را همانند دعا کنار هم قرار دهد و سوره‌هاى زیر را بخواند و در آن بدمد، سپس دو دستش را تا جایى که مى‌رسد به بدنش بمالد، و این کار را از سر و صورت و قسمت جلوى بدن آغاز نماید و آن را سه بار تکرار کند.
بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ﴿قُلۡ هُوَ ٱللَّهُ أَحَدٌ١ ٱللَّهُ ٱلصَّمَدُ٢ لَمۡ يَلِدۡ وَلَمۡ يُولَدۡ٣ وَلَمۡ يَكُن لَّهُۥ كُفُوًا أَحَدُۢ٤﴾ [الإخلاص 1 - 4].
بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ﴿قُلۡ أَعُوذُ بِرَبِّ ٱلۡفَلَقِ١ مِن شَرِّ مَا خَلَقَ٢ وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ٣ وَمِن شَرِّ ٱلنَّفَّٰثَٰتِ فِي ٱلۡعُقَدِ٤ وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ٥﴾ [الفلق 1 ـ 5].
بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ﴿قُلۡ أَعُوذُ بِرَبِّ ٱلنَّاسِ١ مَلِكِ ٱلنَّاسِ٢ إِلَٰهِ ٱلنَّاسِ٣ مِن شَرِّ ٱلۡوَسۡوَاسِ ٱلۡخَنَّاسِ٤ ٱلَّذِي يُوَسۡوِسُ فِي صُدُورِ ٱلنَّاسِ٥ مِنَ ٱلۡجِنَّةِ وَٱلنَّاسِ٦﴾",أذکار خواب
2,«خداوند هیچ معبودى «به حق» جز او نیست، خداوندى که زنده و قائم به ذات خویش است، هیچ گاه خواب سبک و سنگین او را فرا نمى‌گیرد، براى اوست آنچه در آسمانها و زمین است، کیست که نزد او جز به فرمانش شفاعت کند، آنچه را پیش روى آنها «بندگان» و پشت سر آنهاست می‌داند، و از گذشته و آیندۀ آنان آگاه است، آنها جز به مقدارى که او بخواهد احاطه به علم او ندارند، کرسى او آسمانها و زمین را دربر گرفته و حفظ و نگهدارى آسمان و زمین براى او گران نیست، و او بلند مرتبه و باعظمت است».,أذکار خواب
3,"«پیامبر و مؤمنان به آنچه از سوى پروردگارش بر او نازل شده ایمان آوردند، همه به خدا، فرشتگان او و کتاب¬هاى وى و پیغمبرانش ایمان آوردند «و می‌گویند»: میان هیچ یک از پیامبران او فرق نمی‌گذاریم و شنیدیم و اطاعت کردیم. پروردگارا! آمرزش تو را می‌خواهیم و بازگشت (همه) به سوى تو است».
«خداوند بـه هیچ کس جز به اندازۀ توانائیش تکلیف نمى‌کند، هر کار «خوبى» را انجام دهد براى خود انجام داده، و هر کار «بدى که» بکند به زیان خود کرده است. پروردگارا! اگر ما فراموش کردیم یا به خطا رفتیم، ما را «بدان» مگیر. پروردگارا! بار سنگین را بر ما مگذار، آنچنان که بر کسانى که پیش از ما بودند، گذاشتى. پروردگارا! آنچه را که طاقت تحمل آن را نداریم بر ما مقرر مدار، و ما را ببخش، و گناهان ما را بپوشان، و مشمول رحمت خود قرار ده، تو مولى و سرپرست مائى، پس ما را بر کافران پیروز گردان».",أذکار خواب
4,«پروردگارا! به نام تو پهلوى خود را بر زمین نهادم، و به کمک تو آن را از زمین، بلند می‌کنم، اگر در حالت خواب روح مرا قبض کردى، آن را ببخشاى، و اگر دوباره به او اجازۀ زندگى دادى، از آن محافظت فرما، همچنان که از بندگان نیکت محافظت کنى».,أذکار خواب
5,«بار الها! تو جان مرا آفریدى، و تو آن را دوباره پس می‌گیرى، مرگ و زندگى آن بدست تو است. الهى! اگر زنده اش نگهداشتى، از او محافظت کن، و اگر آن را میراندى، پس مورد آمرزش قرار ده. الهى! من از تو عافیت می‌خواهم».,أذکار خواب
6,«الهى! روزى که بندگانت را حشر می‌کنى، مرا از عذابت نجادت ده». [سه مرتبه خوانده می‌شود].,أذکار خواب
7,«خـدایا! با نـام تـو مى‌میرم (مى‌خوابم) و با نـام تـو زنده می‌شوم [بیدار می‌شوم]».,أذکار خواب
8,"«سُبْحَانَ اللهِ [33 مرتبه], وَالْحَمْدُ ِللهِ [33 مرتبه], وَاللهُ أَكْبَرُ [34 مرتبه]»",أذکار خواب
9,«الهى! پروردگار آسمانها و زمین، و پروردگار عرش بزرگ، پروردگار ما و همۀ چیز، شکافندۀ دانه و هسته، و فرود آورندۀ تـورات و انجـیل و فـرقان، از شرّ هـر آنچـه که پیشانی‌اش در دست تو است به تو پناه می‌برم. الهى! توئى اول، قبل از تو چیزى نیست. و توئى آخر، بعد از تو چیزى نیست. تو آشکارى، و هیچ چیز آشکارتر از تو نیست. تو پنهانى، و هیچ چیز پنهان تر از تو نیست. الهى! وام¬هاى ما را ادا کن، و ما را از تنگدستى به غنا و توانگرى برسان».,أذکار خواب
10,«تمام ستایش ها خدائى راست که ما را خورانید و نوشانید، و تمام امور را کفایت کرد و به ما جاى پناه داد، براستى که چقدر از مردم هستند که هیچ گونه مددکار و پناه دهنده‌اى ندارند».,أذکار خواب
11,«بار الها! اى دانندۀ نهان و آشکار، آفریدگار آسمان ها و زمین، پروردگار و مالک هر چیز، من گواهى مى‌دهم که بجز تو، معبود دیگرى نیست، از شرّ نفس و از شرّ شیطان و دام فریبش، و از اینکه خود مرتکب کار بدى شوم و یا به مسلمانى، بدى برسانم، به تو پناه می‌برم».,أذکار خواب
12,«سوره‌هاى ﴿الٓمٓ١ تَنزِيلُ ٱلۡكِتَٰبِ ...﴾ (سورۀ‌ السَّجْدَه) و﴿تَبَٰرَكَ ٱلَّذِي بِيَدِهِ ٱلۡمُلۡكُ ...﴾ (سورۀ‌ المُلک) را بخواند».,أذکار خواب
13,«بار الها! جانم را به تو سپردم، و کار خود را به تو تفویض نمودم، و چهره‌ام را به سوى تو گرداندم، و به تو اتّکا کردم، در حالى که به نعمتهاى تو امیدوارم و از عذابت بیم ناکم، به جز تو پناهگاهى و جاى نجاتى ندارم. الهى! به کتابى که تو نازل فرمودى، و به پیامبرى که تو مبعوث کردى، ایمان آوردم».,أذکار خواب
14,«خداوند هیچ معبودى «به حق» جز او نیست، خداوندى که زنده و قائم به ذات خویش است، هیچ گاه خواب سبک و سنگین او را فرا نمى‌گیرد، براى اوست آنچه در آسمانها و زمین است، کیست که نزد او جز به فرمانش شفاعت کند، آنچه را پیش روى آنها «بندگان» و پشت سر آنهاست می‌داند، و از گذشته و آیندۀ آنان آگاه است، آنها جز به مقدارى که او بخواهد احاطه به علم او ندارند، کرسى او آسمانها و زمین را دربر گرفته و حفظ و نگهدارى آسمان و زمین براى او گران نیست، و او بلند مرتبه و باعظمت است».,أذکار صبح و شب
15,«به نام خداوند بخشنده ى مهربان (بگو خدا یگانه است، خدا، کمال مطلق و سَرورِ والای برآورندۀ امیدها و برطرف‌کنندۀ نیازمندیها است، نه زاده، و نه زاده شده است، و نه همتایى دارد به نام خداوند بخشنده ى مهربان (بگو پناه می‌برم به خداوند سپیده دم. از شرّ آنچه آفریده است، و از شرّ شب بدانگاه که کاملاً فرا مى‌رسد، و از شرّ کسانى که در گره‌ها مى‌دمند، و از شرّ حسود بدانگاه که حسد مى‌ورزد به نام خداوند بخشندۀ مهربان، (بگو پناه مى‌برم به پروردگار مردمان، به مالِک و حاکم «واقعى» مردم، به معبودِ «به حق» مردم، از شرّ وسوسه‌گرى که واپس مى‌رود، از وسوه‌گرى است که در سنیه‌هاى مردم به وسوسه مى‌پردازد، «در سینه‌هاى مردمانى» از جنها و انسانها». [این سوره‌ها سه بار خوانده شود],أذکار صبح و شب
16,«ما و تمام جهانیان، شب را براى خدا به صبح رسانیدیم، و حمد از آن خداست، هیچ معبودى، بجز الله «به حق» که یکتاست و شریکى ندارد وجود ندارد. پادشاهى و حمد فقط از آن اوست و او بر هر چیز قادر است. الهى! من خیر آنچه در این روز است و خیر آنچه بعد از آن است را از از تو می‌طلبم، و از شرّ آنچه که در این روز و ما بعد آن، وجود دارد، به تو پناه مى‌برم. الهى! من از تنبلى و بدى هاى پیرى به تو پناه مى‌برم، بار الها! من از عذاب آتش و قبر به تو پناه می‌برم».,أذکار صبح و شب
