id,thikr,at
1,"99- juntar as palmas das mãos e recitar os três últimos surat's, isto,  três vezes.

-----------
(1) Bukhari com Al- fath, 9/62, número 5017",Súplica ao dormir.
2,"100- Deus! Não há ninguém que merece ser adorado d'Ele, Vivente, Subsistente, a Quem jamais alcança a inatividade ou o sono; d'Ele é tudo quanto existe nos céus e na terra. Quem poderá interceder junto a Ele, sem a Sua anuência? Ele conhece tanto o passado como o futuro, e eles (humanos) nada conhecem a Sua ciência, senão o que Ele permite. O Seu Trono abrange os céus e aterra, cuja preservação não O abate, porque é o Ingente, o Altíssimo.

-------'
(2) Surah al- Bakarah, versículo 255",Súplica ao dormir.
3,"101- O Mensageiro crê no que foi revelado por seu Senhor e todos os fiéis crêem em Deus, em Seus anjos, em Seus Livros em Seus mensageiros. Nós não fazemos distinção entre os Seus mensageiros. Disseram: Escutamos e obedecemos. Só anelamos a Tua indulgência, ó Senhor nosso! A Ti será o retorno!
Deus não impõe a nenhuma alma uma carga superior às suas forças. Beneficiar-se-á com o bem quem o tiver feito e sofrerá mal quem o tiver cometido. Ó Senhor nosso, não nos condenes, se nos esquecermos ou nos equivocarmos! Ó Senhornosso, não nos imponhas carga, como a que impuseste a nossos antepassados! Ó Senhor nosso, não nos sobrecarregues como que não podemos suportar! Tolera-nos! Perdoa-nos! Tem misericórdia de nós! Tu és nosso Protetor! Concede-nos a vitóriasobre os incrédulos!

-------

(1) quem recitar durante a noite lhe será suficiente, Bukhari com Al-Fath, 9,94,número 4008",Súplica ao dormir.
4,"102- Em Teu nome meu Senhor coloquei o meu lado e em Teu nome levanto-me, pois se tomares a minha alma tenha misericórdia dela, e se ela for solta que a proteja como protegeste as almas de teus servos virtuosos.

---------
(3) Bukhari com Al- fath, 11/126, número 6320",Súplica ao dormir.
5,"103- “Ó Allah, Tu criaste minha alma, e tu a tomarás de volta, a Ti pertence a sua morte (da alma) e a sua vida. Se permitis que viva, preserve-a, e se a levares perdoa-a. Ó Allah, eu peço ao Senhor uma boa saúde.

--------
(1)Narrado por Musslim, 4/2083, número 2712",Súplica ao dormir.
6,"104- O Profeta sempre que desejava se deitar colocava sua mão direita em sua bochecha e dizia: “Ó Allah protege-me de Teu castigo o dia em que Tu ressuscitares teus servos”. Repetir três vezes.

(3) Abu Dáwud, 4/311, número 5045",Súplica ao dormir.
7,"105- Com o seu nome ó ALLAH morro e vivo.

-------
(4) Al- Bukhari com Al-Fath, 11/113, número 6324",Súplica ao dormir.
8,"106- Subhanallah (33 vezes), Alhamdulillah (33 vezes), ALLAHU Akbar (34 vezes)

--------
(1) Al Bukhari com Al- fath, 7/71, número 3705",Súplica ao dormir.
9,"107- Ó Allah, Senhor dos sete céus, Senhor do trono poderosíssimo, nosso Senhor e Senhor de todas as coisas, (causador) da fissura da semente e do caroço da tâmara, Revelador da Torá, do Evangelho, e Al-Furquan (o Sagrado Alcorão) Eu busco refúgio em Ti de todos os males das coisas existentes pelas quais Tu és responsável. Ó Allah. Tu és o Primeiro, e antes de ti não há nada. Tu és o Último, e depois de Ti não haverá nada. Tu és o Evidente e não há nada acima de Ti. Tu és o Oculto e não há nada sob Ti. Quita nossa dívida e enriquece-nos da pobreza”

--------
(1)Musslim, 4/2084,Número 2713",Súplica ao dormir.
10,"108- “Todos os louvores pertencem a Allah, Que nos deu de comer e beber, que nos deu suficiência e o refúgio. Pois quantos são os que não possuem alguém que os satisfaça ou lhes refugie”

-------
(2)Musslim, 4/2085, número 2715",Súplica ao dormir.
11,"109- Ó Allah, conhecedor do que é oculto e explícito, criador dos céus e da terra , Senhor de coisas e Possuidor dela, eu testemunho que não há outra divindade real além de Ti, protejo-me em Ti do mal de minha alma, e do mal do Satanás e ao que ele Te associa, e de cometer um mal contra mim mesmo ou levá-lo a um dos muçulmanos”.

(1) Abu Dáwud, 4/317, número 5067",Súplica ao dormir.
12,"110- Recitar Alim Lám Mim Sajdah e Surah Al-mulk

-------
(2)Tirmidhi, número 3404",Súplica ao dormir.
13,"111- Ó Allah, eu submeto-Te minha alma, e confio meus afazeres a Ti, e torno meu rosto a Ti, e refugio minhas costas a Ti, em esperança e temor a Ti. Não há refúgio ou segurança de Ti a não ser em Ti, eu creio no Teu livro que revelaste e Teu profeta que Tu enviaste Pois se morrer morrerá sobre a fitrah (crença pura)”.

(1) Al- Bukhari com Al- Fath, 11/113, número 6313",Súplica ao dormir.
14,"75- Deus! Ninguém é digno de Adoração  além d'Ele, Vivente, Subsistente, a Quem jamais alcança a inatividade ou o sono; d'Ele é tudo quanto existe nos céus e na terra. Quem poderá interceder junto a Ele, sem a Sua anuência? Ele conhece tanto o passado como o futuro, e eles (humanos) nada conhecem a Sua ciência, senão o que Ele permite. O Seu Trono abrange os céus e aterra, cuja preservação não O abate, porque é o Ingente, o Altíssimo.

----------
(1) Surat- Al- Bakarah, versículo 255",Súplica para fazer durante ao amanhecer e anoitecer.
15,"76- Recitar os três  Kúl   بسم الله الرحمن الرحيم  ﴿قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ* مِن شَرِّ مَا خَلَقَ* وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ* وَمِن شَرِّ النَّفَّاثَاتِ فِي الْعُقَدِ* وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ﴾.  بسم الله الرحمن الرحيم  ﴿قُلْ أَعُوذُ بِرَبِّ النَّاسِ* مَلِكِ النَّاسِ* إِلَهِ النَّاسِ* مِن شَرِّ الْوَسْوَاسِ الْخَنَّاسِ* الَّذِي يُوَسْوِسُ فِي صُدُورِ النَّاسِ* مِنَ الْجِنَّةِ وَ النَّاسِ﴾

--------------------
(1) Aquele que recitar 3 vezes ao amanheçer e anoitecer lhe será suficiente, Abu Dawud, 4,322, número 322",Súplica para fazer durante ao amanhecer e anoitecer.
