id,thikr,at
1,"wuxuu kulminayaa labadiisa baabacood, kadib wuu ku tufayaa isagoo akhriyaya suuradahan. wuxuuna ku masaxayaa jidhkiisa inta uu awoodo, wuxuuna kaga bilaabayaa madaxiisa, wajigiisa iyo wixii kusoo aada jidhkiisa. ( saddex jeer).",Ducooyinka hurdada
2,lama qorin,Ducooyinka hurdada
3,lama qorin,Ducooyinka hurdada
4,"{bismika rabbii wa dactu janbii, wa bika arfacuhu, in amsakta nafsii farxam-
haa, wa in arsaltahaa faxfad-haa  bimaa taxfadu bihi cibaadakassaalixiina}..",Ducooyinka hurdada
5,"{ allaahumma innaka khalaqta nafsii wa anta tawaffaahaa, laka mamaatuhaa wa maxyaahaa, in axyeytahaa faxfad-haa, wa in amattahaa faqfil lahaa, allaa-humma innii as-aluka alcaafiyata}.<  allow adigaa abuuray naftayda adigaana oofsanaya, waxaa kuu sugan 
geerideeda iyo nolasheeda, haddii aad noolayso xifdi, haddii aad oofsatana (disho) u dambi dhaaf, allow waxaan ku waydiisanayaa caafimaadqab <> .",Ducooyinka hurdada
6,{allaahumma qinii cadaabaka yawma tabcathu cibaadaka}..,Ducooyinka hurdada
7,{bismika allaahumma amuutu wa axyaa}.<> magacaaga ayaan allow ku dhimanayaa kuna noolaanayaa>>,Ducooyinka hurdada
8,"{subxaanallaahi,(soddon iyo sad-dex jeer) walxamdu lillaahi, (soddon iyo saddex jeer)wallaahu akbaru(soddon iyo (afar jeer)}.<> ilaahay ayaa ka hufan xumaan iyo ceeba, mahadna waxaa iska leh ilaahay, ilaahay baana weyn>>.",Ducooyinka hurdada
9,"{allaahumma rabbassamaawaa-tissabci wa rabbal-ardi, wa rabba alcarshi alcadiimi, rabbanaa wa rabba kulli shayin faaliqal xabbi wannawaa, wa munzila tawraati wal-injiili walfurqaani, acuudu bika min sharri kulli shay-in anta 
aakhidun bi naasiyatihi, allaahumma an-tal-awwalu falaysa qablaka shay-un, wa antal aakhiru falaysa bacdaka shay-un, wa anta thaahiru falaysa fawqaka shay-un,wa antal baadinu falaysa duunaka shay-un, iqdi cannaa addayna wa aqni-naa minal faqri}. >.",Ducooyinka hurdada
10,"{Alxamudu lillaahi alladii adca-manaa wa saqaanaa, wa kafaanaa, wa aawaanaa, fa kam mimman laa kaafiya lahu wa laa mu>wiya}. .",Ducooyinka hurdada
11,"{Allahumma caalimal qaybi washa-haadati faadirassamaawaati wal ardi, rabba kulli shay-in wa maliikahu, ash-hadu an laa ilaaha illaa anta, acuudu bika min sharri nafsii, wa min sharri shaydani wa shirkihi, wa an aqtarifa calaa nafsii suu-an aw ajurrahu ilaa muslimin)).“allow allihii waxa maqan iyo waxa joogaba(la arko) ogaayow, cirka iyo dhulkana rabbigii abuurayow, rabbigii shaykasta lahaayow, waxaan qirayaa in uusan jirin ilaah xaq lagu caabudo adiga mooyee, waxaan kaaga magan galayaa sharka naftayda, iyo sharka shaydaanka iyo shirkigiisa ama dabinkiisa, waxaan kaloo kaa magan galayaa in aan 
naftayda xumaan u soo jiido, ama qof muslin ah u soo jiido xumaan.",Ducooyinka hurdada
12,{ Wuxuu akhrinayaa (( alif laa miim) suuratu sajdah iyo suuratu tabaarak)).,Ducooyinka hurdada
