id,thikr,at
1,"Cuando a la noche el Profeta (la paz y las bendiciones de Allah sean con él) se recostaba en su lecho, juntaba sus palmas, soplaba en ellas (escupía sólo con aire, sin saliva), recitaba las tres últimas suras del Corán: 
“Di: “Él es Al-lah, Uno. Al-lah es el Absoluto. No engendró ni fue engendrado. Y no hay nada ni nadie que sea semejante a Él”.
“Di: “Me refugio en el Señor del amanecer, de todo el mal que existe en lo que Él creó, del mal de la oscuridad de la noche cuando se extiende, del mal de las [hechiceras] sopladoras de nudos, y del mal del envidioso cuando envidia”.
“Di: “Me refugio en el Señor de los seres humanos, en el Rey Soberano de los seres humanos, en el [único] Dios de los seres humanos, de la maldad del [demonio] susurrador que huye [cuando el nombre de Dios es mencionado], que susurra en los corazones de los seres humanos, y existe entre los yinnes y entre los seres humanos”.
y luego se frotaba todo el cuerpo tanto como le era posible, comenzando por su cabeza, luego su rostro y después sobre las demás partes del cuerpo. Realizaba esto tres veces.

--------
Bujari en el libro Fathul Bari 9/62 y Muslim 4/1723",Súplicas antes de dormir
2,"Cuando te retires a tu lecho recita la aleya del Trono “¡Dios! No existe nada ni nadie con derecho a ser adorado excepto Él, el Viviente [Eterno], el Sustentador [y Gobernador de toda la creación]. No Lo afectan somnolencia ni sueño. Suyo es cuanto hay en los cielos y la Tierra. ¿Quién podrá interceder ante Él si no es con Su permiso? Conoce el pasado y el futuro [lo manifiesto y lo oculto] y nadie abarca de Su conocimiento salvo lo que Él quiere. El escabel de Su Trono abarca los cielos y la Tierra, y la custodia [y mantenimiento] de ambos no Lo agobia. Y Él es el Sublime, el Grandioso.” [2:255] , así entonces la protección de Allah permanecerá contigo y ningún demonio se te ha de acercar hasta que despiertes.

---------
Bujari en el libro Fathul Bari 4/487",Súplicas antes de dormir
3,"“Quien recite las últimas dos aleyas de Sura “La vaca” “El Mensajero y sus seguidores creen en lo que le fue revelado por su Señor [al Mensajero]. Todos creen en Dios, en Sus ánge- les, en Sus Libros y en Sus Mensajeros [diciendo:] “No hacemos diferencia entre ninguno de Sus Mensajeros”. Y dicen: “Oímos y obedecemos. Perdónanos Señor nuestro, que ante Ti retornaremos [para ser juzgados]”. Dios no exige a nadie por encima de sus posibilidades, a su favor tendrá el bien que haga, y en su contra tendrá el mal que haga. “¡Señor nuestro! No nos castigues si olvidamos o cometemos un error. ¡Señor nuestro! No nos impongas una carga como la que impusiste a quienes nos precedieron. ¡Señor nuestro! No nos impongas algo superior a lo que podamos soportar. Perdónanos, absuélvenos y ten misericordia de nosotros. Tú eres nuestro Protector, concédenos el triunfo sobre los que niegan la verdad”. (2:285-286) por la noche le serán suficientes.

--------
Bujari en el libro Fathul Bari 9/94 y Muslim 1/554",Súplicas antes de dormir
4,"Si alguno de vosotros se levanta de su lecho y luego retorna a él, deberá sacudirlo desde el extremo de su vestimenta tres veces, porque desconoce lo que pudiera haber ocurrido en su ausencia, debiendo recitar cuando se acueste: “En Tu nombre, mi Señor, me recuesto sobre mi costado y en Tu nombre me levanto, entonces si tomas mi alma, Ten misericordia de ella, y si la devuelves, protégela de la manera en que lo haces con tus siervos rectos”.

--------
Bujari 11/126 y Muslim 4/2084",Súplicas antes de dormir
5,"Oh Allah, ciertamente Tú me has creado, y Tú tomarás mi alma, a Ti te pertenece mi muerte y mi vida, si la mantienes con vida, protégela y si le das muerte, entonces perdónala. ¡Oh Señor! Ciertamente te pido salud.

---------
Muslim 4/2083, Ahmad 2/79",Súplicas antes de dormir
6,"El Profeta cuando se acostaba colocaba su mano derecha bajo su mejilla y decía: “Oh Señor protégeme de tu castigo el día que resucites a tus siervos.“

--------
Abu Dawúd 5045",Súplicas antes de dormir
7,"En Tu nombre, Oh Allah muero y (re)vivo (es decir: duermo y despierto, debido a la similitud que existe entre el sueño y la muerte, y entre volver a la vida y despertar).

-------
Bujari en el libro Fathul Bari 11/113",Súplicas antes de dormir
8,"El Profeta (la paz y las bendiciones de Allah sean con él) se dirigió a ‘Ali y Fatima cuando su hija le solicitó un sirviente, les dijo: 
¿Acaso no queréis algo mejor que un sirviente? Pues cuando vayais al lecho decid: ¡Glorificado sea Allah! 33 veces, ¡Alabado sea Allah! 33 veces, ¡Allah es el más grande! 34 veces, es mejor para vosotros que un sirviente.”

--------
Bujari en el libro Fathul Bari 7/71 y Muslim 4/2091",Súplicas antes de dormir
9,"“Oh Allah, Señor de los siete cielos y del Trono magnífico, nuestro Señor y soberano de todas las cosas, quien hace germinar la semilla y el carozo del dátil, quien ha revelado la Torah, el Evangelio y el Furqan  me refugio en Ti de todo mal sobre lo que Tú tienes total dominio, Oh Allah, Tú eres el Primero, el que nada lo precedió, el último, el que nada lo sucederá, el Evidente, y no hay por encima de Ti, el Oculto, quien no hay nadie más allá de Ti. Salda nuestras deudas, y protégenos de la pobreza.”

--------
Muslim 4/2084",Súplicas antes de dormir
10,"“Alabado sea Allah quien nos alimentó, nos dio de beber, nos es suficiente y nos ha dado refugio, pero en cambio cuántos hay que no tienen quien sea suficiente y les de refugio.”

--------
Muslim 4/2085",Súplicas antes de dormir
