id,thikr,at
1,"(99) Alikuwa Mtume (s.a.w) akitaka kulala usiku akivikusanya viganja vyake vya mikono kisha akivipulizia na akivisomea Suratul-Ikhlas, na Suratul-Falaq, na Suratu Nnas, kisha akijipangusa kwa hivyo viganja vyake katika mwili wake kiasi anachoweza, akianza kichwani na usoni na mbele.

(Akifanya hivo mara tatu).",Nyiradi za wakati wa kulala
2,"(100) Mtume (s.a.w) amesema: (Ukitaka kulala soma Ayatul-Kursiy mpaka umalize kwani Mwenyezi Mungu ataendelea kukuhifadhi, wala hakukaribii shetani mpaka asubuhi.

{Mwenyezi Mungu - hapana mungu ila Yeye Aliye hai, Msimamia mambo yote milele. Hashikwi na usingizi wala kulala. Ni vyake pekee vyote viliomo mbinguni na duniani. Ni nani huyo awezaye kuombea mbele yake bila ya idhini yake? Anayajua yaliyo mbele yao na yaliyo nyuma yao; wala wao hawajui chochote katika vilio katika ujuzi wake, ila kwa atakalo mwenyewe. Enzi yake imetanda mbinguni na duniani; na wala haemewi na kuvilinda hivyo. Na Yeye ndiye aliye juu, na ndiye Mkuu}. (Suratul-Baqrah: 255).",Nyiradi za wakati wa kulala
3,"(101) Amesema Mtume (s.a.w) anaesoma aya mbili za mwisho wa Suratul-Baqrah usiku zinamtosheleza.

{Mwenyezi Mungu haikalifishi nafsi yoyote ila kwa kadiri ya iwezavyho. Faida ya iliyo yachuma ni yake, na khasara ya iliyo yachuma ni juu yake pia. (Ombeni:)Mola wetu Mlezi! Usituchukulie tukisahau au tukikosea. Mola wetu Mlezi! Usitubebeshe mzigo kama ulio wabebesha wale walio kuwa kabla yetu. Mola wetu Mlezi Usitutwike tusiyo yaweza, na utusamehe, na utughufirie, na uturehemu. Wewe ndiye Mlinzi wetu. Basi tupe ushindi tuwashinde kaumu ya makafiri}. (Suratul-Baqrah: 286).",Nyiradi za wakati wa kulala
4,"(102) Mtume (s.a.w) pia amesema: (Akiamka mmoja wenu kutoka usingizini kisha akarudi basi akikung'ute kitanda chake kwa shuka lake mara tatu, na amtaje Mwenyezi Mungu, kwani hajui kilichokuja baada yake. Na akilala aseme:

''Kwa jina lako Mola wangu, nimeweka ubavu wangu na kwa ajili yako nitaunyanyua, na ukiizuia (ukiichukuwa) roho yangu, basi irehemu, na ukiirudisha basi ihifadhi, kwa kile unacho wahifadhi nacho waja wako wema.''",Nyiradi za wakati wa kulala
5,"Ewe Mwenyezi Mungu hakika Wewe umeiumba nafsi yangu nawe utaiua, ni kwako uhai wa nafsi yangu na ufaji wake, ukiipa uhai basi ihifadhi, na ukiifisha (ukiiua) basi isamehe. Ewe Mwenyezi Mungu hakika mimi nakuomba afya njema.",Nyiradi za wakati wa kulala
6,"Alikuwa Mtume (s.a.w) akitaka kulala anaweka mkono wake wa kulia chini ya shavu lake, kisha anasema:

''Ewe Mwenyezi Mungu nikinge na adhabu yako siku utakayo wafufua waja wako.  (mara tatu).",Nyiradi za wakati wa kulala
7,Kwa jina lako Ewe Mwenyezi Mungu ninakufa na ninakuwa hai.,Nyiradi za wakati wa kulala
8,"(106) Mtume (s.a.w) amesema: ''Hivi niwafahamishe juu ya kitu ambacho ni bora zaidi kuliko mtumishi, wakati mnapolala; msabihini Mwenyezi Mungu (kwa kusema Subhana Llaah) mara thelathini na tatu, kisha msifuni Mwenyezi Mungu (kwa kusema Alhamdu liLlaah) mara thelathini na tatu, na kisha mkabirini Mwenyezi Mungu (kwa kusema Allahu akbar) mara thelathini na nne, kwani kusema hivo ni bora kwenu kuliko mtumishi.

Yaani useme:
Subhaana Llaah, (Ametakasika Mwenyezi Mungu). Mara thelathini na tatu.

Wa Alhamdu liLlaah, (Sifa njema zote ni za Mwenyezi Mungu). Mara thelathini na tatu.

Wa Allaahu akbar, (Mwenyezi Mungu ni mkubwa). Mara thelathini na nne.",Nyiradi za wakati wa kulala
9,"Ewe Mwenyezi Mungu, Mola wa mbingu saba, na Mola wa arshi tukufu, Mola wetu na Mola wa kila kitu, Mwenye kuichanua tembe ya mbegu na kokwa, na aliye teremsha Taurati na Injili na Qur'an, najikinga kwako kutokana na shari ya kila kitu, Wewe ndiye mwenye kukamata utosi wake, Ewe Mwenyezi Mungu, Wewe ndiye wa mwanzo hakuna kabla yako kitu, nawe ndiwe wa mwisho, hakuna baada yako kitu, na Wewe ndiye uliye wazihakuna juu yako kitu chochote, na Wewe ndiye uliyefichika hakuna kilichojificha chini yako, tulipie madeni yetu, na utuepushe na ufakiri.",Nyiradi za wakati wa kulala
10,"Sifa njema zote ni za Mwenyezi Mungu ambaye ametulisha na ametunywesha na akatutosheleza na akatuhifadhi, ni wangapi ambao hawana wa kuwatosheleza wala wa kuwahifadhi.",Nyiradi za wakati wa kulala
