id,thikr,at
1,"99- (1) ท่านนบีจะรวบสองฝ่ามือของท่านเข้าด้วยกัน จากนั้นท่านจะเป่าลมลงในฝ่ามือทั้งสอง แล้วก็อ่าน ด้วยพระนามของอัลลอฮฺ ผู้ทรงเมตตา กรุณาปรานียิ่ง จงกล่าวเถิดมุหัมมัด พระองค์คืออัลลอฮฺผู้ทรงเอกะ อัลลอฮฺนั้นทรงเป็นที่พึ่ง พระองค์ไม่ประสูติ และไม่ทรงถูกประสูติ และไม่มีผู้ใดเสมอเหมือนพระองค์ * ด้วยพระนามของอัลลอฮฺ ผู้ทรงเมตตา กรุณาปรานียิ่ง จงกล่าวเถิดมุหัมมัด ข้าพระองค์ขอความคุ้มครองต่อพระเจ้าแห่งรุ่งอรุณ ให้พ้นจากความชั่วร้ายที่พระองค์ได้ทรงบันดาลขึ้น และจากความชั่วร้ายแห่งความมืดของเวลากลางคืนเมื่อมันแผ่คลุม และจากความชั่วร้ายของบรรดาผู้เสกเป่าในปมเงื่อน และจากความชั่วร้ายของผู้อิจฉาเมื่อเขาอิจฉา * ด้วยพระนามของอัลลอฮฺ ผู้ทรงเมตตา กรุณาปรานียิ่ง จงกล่าวเถิดมุหัมมัด ข้าพระองค์ขอความคุ้มครองต่อพระผู้อภิบาลแห่งมนุษยชาติ พระราชาแห่งมนุษยชาติ พระผู้เป็นเจ้าแห่งมนุษยชาติ ให้พ้นจากความชั่วร้ายของผู้กระซิบกระซาบที่หลอกล่อ ที่กระซิบกระซาบในหัวอกของมนุษย์จากหมู่ญินและมนุษย์ เสร็จแล้วท่านก็จะเอามือทั้งสองลูบตามตัวเท่าที่จะสามารถทำได้ โดยท่านจะใช้มือทั้งสองเริ่มลูบจากศีรษะ ใบหน้า และด้านหน้าของลำตัวก่อน ซึ่งท่านจะทำอย่างนั้นเป็นจำนวนสามครั้งด้วยกัน (1)

----------------
(1) อัล-บุคอรี มะอัลฟัตหุ หน้า 9/62 หมายเลข 5017 และมุสลิม หมายเลข 2192",28 - บทซิกิรเมื่อเข้านอน
2,"100- (2) อัลลอฮฺนั้นคือไม่มีผู้ที่ถูกเคารพสักการะใดๆ ที่เที่ยงแท้ นอกจากพระองค์เท่านั้น ผู้ทรงชีวิต  ผู้ทรงบริหารกิจการทั้งหลาย โดยที่การง่วงนอน และการนอนหลับใดๆ จะไม่เอาพระองค์ สิ่งที่อยู่ในบรรดาชั้นฟ้าและสิ่งที่อยู่ในแผ่นดินนั้นเป็นของพระองค์ ใครเล่าคือผู้ที่จะขอความช่วยเหลือให้แก่ผู้อื่น ณ ที่พระองค์ได้ นอกจากด้วยอนุมัติของพระองค์เท่านั้น พระองค์ทรงรู้สิ่งที่อยู่เบื้องหน้าของพวกเขาและสิ่งที่อยู่เบื้องหลังของพวกเขา และพวกเขาจะไม่ล้อมสิ่งใด จากความรู้ของพระองค์ไว้ได้นอกจากสิ่งที่พระองค์ทรงประสงค์เท่านั้น เก้าอี้พระองค์นั้นกว้างขวางทั่วชั้นฟ้าทั้งหลายและแผ่นดิน และการรักษามันทั้งสองก็ไม่เป็นภาระแก่พระองค์ และพระองค์นั้นคือผู้ทรงสูงส่ง ผู้ทรงยิ่งใหญ่ (2)

--------------
(2) สูเราะฮฺอัล-บะเกาะเราะฮฺ อายะฮฺที่ 255, ผู้ใดที่อ่านมันก่อนที่จะเข้านอน อัลลอฮฺจะให้มีผู้พิทักษ์คอยดูแลเขา และชัยฏอนตัวไหนก็มิอาจจะเข้าใกล้เขาได้จนกระทั่งรุ่งเช้า, อัล-บุคอรี มะอัลฟัตหุ หน้า 4/487 หมายเลข 2311",28 - บทซิกิรเมื่อเข้านอน
3,"101- (3) ศาสนทูตนั้นได้ศรัทธาต่อสิ่งที่ได้ถูกประทานลงมาแก่เขาจากพระเจ้าของเขา และบรรดาผู้ศรัทธาทั้งหลายก็ศรัทธาด้วย ทุกคนศรัทธาต่ออัลลอฮฺ และมลาอิกะฮฺของพระองค์ และบรรดาคัมภีร์ของพระองค์ และบรรดาศาสนทูตของพระองค์ (พวกเขากล่าวว่า) เราจะไม่แยกระหว่างท่านหนึ่งท่านใดจากบรรดาศาสนทูตของพระองค์ และพวกเขากล่าวว่า เราได้ยินแล้ว และได้ปฏิบัติตามแล้ว การอภัยโทษจากพระองค์เท่านั้นที่พวกเราปรารถนา โอ้พระเจ้าของพวกเรา และยังพระองค์นั้นคือการกลับไป * อัลลอฮฺจะไม่ทรงบังคับชีวิตหนึ่งชีวิตใดนอกจากตามความสามารถของชีวิตนั้นเท่านั้น ชีวิตนั้นจะได้รับการตอบแทนดีในสิ่งที่เขาได้แสวงหาไว้ และชีวิตนั้นจะได้รับการลงโทษในสิ่งที่ชั่วที่เขาได้แสวงหาไว้ โอ้พระเจ้าของพวกเรา โปรดอย่าเอาโทษแก่เราเลย หากพวกเราลืมหรือผิดพลาดไป โอ้พระเจ้าของพวกเรา โปรดอย่าได้บรรทุกภาระหนักใดๆ แก่พวกเรา เช่นเดียวกับที่พระองค์ได้ทรงบรรทุกมันแก่บรรดาผู้ที่อยู่ก่อนหน้าพวกเรามาแล้ว โอ้พระเจ้าของพวกเรา โปรดอย่าให้พวกเราแบกสิ่งที่ไม่มีกำลังใดๆ แก่พวกเราที่จะแบกมันได้ และโปรดได้ทรงอภัยแก่พวกเราและยกโทษให้แก่พวกเรา และเมตตาแก่พวกเราด้วยเถิด พระองค์นั้นคือ ผู้ปกครองของพวกเรา ดังนั้นได้โปรดทรงช่วยเหลือพวกเราให้ได้รับชัยชนะเหนือกลุ่มชนที่ปฏิเสธศรัทธาด้วยเถิด (1)

-----------------
(1) ผู้ใดที่อ่านสองอายะฮฺนี้ในยามค่ำคืน มันจะเป็นการเพียงพอแก่เขาแล้ว (ที่จะได้รับการคุ้มครองจากภยันตรายต่างๆ ในค่ำคืนนั้น หรือเพียงพอแล้วที่จะอ่านสองอายะฮฺนี้เพื่อเป็นการกิยามุลลัยลฺในค่ำคืนนั้น), อัล-บุคอรี มะอัลฟัตหุ หน้า 9/94 หมายเลข 4008 และมุสลิม หน้า 1/554 หมายเลข 807, ซึ่งสองอายะฮฺนี้อยู่ในสูเราะฮฺอัล-บะเกาะเราะฮฺ อายะฮฺ 285-286",28 - บทซิกิรเมื่อเข้านอน
4,"102- (4) ด้วยนามของพระองค์ (2) โอ้พระเจ้าของฉัน ฉันขอวางสีข้างลงนอน  และด้วยพระองค์ฉันยกมันขึ้น หากพระองค์ได้ยึดดวงวิญญาณฉันไว้ (ให้ฉันตาย) ก็ขอโปรดทรงเมตตาต่อมัน และหากพระองค์ปล่อยมันไป (ให้ฟื้นตื่นขึ้นมาอีกครั้ง) ก็ขอโปรดทรงคุ้มครองมันอย่างที่พระองค์ทรงคุ้มครองปวงบ่าวที่ดีทั้งหลาย (3)

-----------------
(2) เมื่อคนใดในหมู่พวกท่านลุกขึ้นจากที่นอนของเขา แล้วเขาก็กลับมาที่นอนนั้นอีกครั้ง ก็ให้เขาสะบัดที่นอนด้วยชายผ้านั้นสามครั้ง และให้เขาด้วยนามของอัลลอฮฺ เพราะเขาไม่รู้หรอกว่าอะไรมาอยู่บนนั้นหลังจากที่เขาจากไป และเมื่อจะเอนกายลงนอนก็ให้เขากล่าวว่า.... (อัล-หะดีษ)
(3) อัล-บุคอรี มะอัลฟัตหุ หน้า 11/126 หมายเลข 6320 และมุสลิม หน้า 4/2084 หมายเลข 2714",28 - บทซิกิรเมื่อเข้านอน
5,"103- (5) โอ้อัลลอฮฺ แท้จริงพระองค์ได้ทรงสร้างชีวิตของฉันและพระองค์จะทำให้มันตาย การตายและการเป็นของมันเป็นอำนาจของพระองค์เท่านั้น หากพระองค์ให้มันฟื้นก็ขอพระองค์ทรงปกป้องคุ้มครองมัน และหากพระองค์ให้มันตายก็ขอพระองค์ประทานอภัยโทษต่อมัน โอ้อัลลอฮฺ ฉันใคร่ขอความปลอดภัยจากพระองค์ (1)

----------------
(1) บันทึกโดยมุสลิม หน้า 4/2083 หมายเลข 2712 และอะหฺมัด สำนวนเป็นการบันทึกของท่าน หน้า 2/79 หมายเลข 5502",28 - บทซิกิรเมื่อเข้านอน
6,"104- (6) โอ้อัลลอฮฺ ได้โปรดปกป้องฉัน (2) จากโทษทัณฑ์ของพระองค์ในวันที่พระองค์ทรงฟื้นชีพปวงบ่าวของพระองค์ (3)

-----------------
(2) เมื่อท่านนบี ศ็อลลัลลอฮุอะลัยฮิวะสัลลัม จะนอน ท่านจะวางมือขวาไว้ใต้แก้มแล้วกล่าวว่า..... (อัล-หะดีษ) 
(3) อบูดาวุด ซึ่งสำนวนเป็นการบันทึกของท่าน หน้า 4/311 หมายเลข 5045, อัต-ติรมิซี หมายเลข 3398 และดูในเศาะฮีหฺ อัต-ติรมิซี หน้า 3/143 และเศาะฮีหฺ อบีดาวุด หน้า 3/240",28 - บทซิกิรเมื่อเข้านอน
7,"105- (7) ด้วยพระนามของพระองค์ โอ้อัลลอฮฺฉันตายและฉันฟื้น (4) 

-----------------
(4) อัล-บุคอรี มะอัลฟัตหุ หน้า 11/113 หมายเลข 6324 และมุสลิม หน้า 4/2083 หมายเลข 2711",28 - บทซิกิรเมื่อเข้านอน
8,"106- (8) มหาบริสุทธิ์ยิ่งแด่อัลลอฮฺ (33 ครั้ง) การสรรเสริญทั้งหลายเป็นสิทธิของอัลลอฮฺ (33 ครั้ง) อัลลอฮฺทรงยิ่งใหญ่ที่สุด (34 ครั้ง) (1)

-----------------
(1) ผู้ใดที่กล่าวมันขณะที่จะเข้านอน ย่อมดีเลิศสำหรับเขายิ่งกว่าการมีคนรับใช้ไว้ช่วยแบ่งเบาภาระเสียอีก, อัล-บุคอรี มะอัลฟัตหุ หน้า 7/71 หมายเลข 3705 และมุสลิม หน้า 4/2091 หมายเลข 2726",28 - บทซิกิรเมื่อเข้านอน
9,"107- (9) โอ้อัลลอฮฺ พระผู้อภิบาลแห่งฟากฟ้าทั้งเจ็ด พระผู้อภิบาลแห่งแผ่นดิน และพระผู้อภิบาลแห่งบัลลังก์อันยิ่งใหญ่ โอ้พระผู้อภิบาลของเราและพระผู้อภิบาลของทุกสรรพสิ่ง ผู้ทรงให้เมล็ดพืชและอินทผลัมปริออก ผู้ทรงประทานคัมภีร์เตารอต อินญีล และอัลฟุรกอน (อัลกุรอาน) เราขอความคุ้มครองต่อพระองค์จากความชั่วร้ายของทุกๆ สิ่งที่พระองค์ทรงสามารถยึดชีวิตมันได้ โอ้อัลลอฮฺ พระองค์คือผู้แรกซึ่งไม่มีสิ่งใดๆ ก่อนหน้าพระองค์ พระองค์คือผู้สุดท้ายซึ่งไม่มีสิ่งใดหลังจากพระองค์ พระองค์คือผู้โดดเด่นซึ่งไม่มีสิ่งใดเหนือกว่าพระองค์ และพระองค์คือผู้ซ่อนเร้นซึ่งไม่มีสิ่งใดนอกเหนือจากพระองค์ ขอโปรดทรงชำระหนี้ให้เราและให้เรารอดพ้นจากความยากไร้ (1)

------------------
(1) มุสลิม หน้า 4/2084 หมายเลข 2713",28 - บทซิกิรเมื่อเข้านอน
10,"108- (10) การสรรเสริญทั้งหลายเป็นสิทธิของอัลลอฮฺ ผู้ทรงให้อาหาร ให้เครื่องดื่ม ให้ความพอเพียง และให้การคุ้มครองแก่เรา ซึ่งยังมีคนเป็นจำนวนมากที่ไม่มีผู้ให้หลักประกันและให้การคุ้มครองต่อเขา (2)

-----------------
(2) มุสลิม หน้า 4/2085 หมายเลข 2715",28 - บทซิกิรเมื่อเข้านอน
