id,thikr,at
1,"Ojise Olohun yio pa atelewo re mejeeji po, yio wa ta oda si aarin won, yi o wa ke awon ayah to nbo yi si won laarin:
 Mo bere pelu oruko Olohun Ajoke aye Oba Asake orun
So wipe Olohun okan soso ni
Allahu ni Oba Ajironukan 
Ko bimo, enikankan ko si bi I
Ko si si afiwe kankan fun Un ninu gbogbo nkan toda
Mo bere pelu oruko Olohun Ajoke aye Oba Asake orun
So wipe mo wa isora pelu Oba ti O ni imole asunba nigba ti o ba yo 
Nibi aburu awon nkan ti O da 
Ati nibi aburu okunkun nigba ti o ba kun biribiri 
Ati nibi awon aburu awon ti won maa n ta oda sinu koko
Ati nibi aburu awon onikeeta nigba ti won ba n se keeta 
Mo bere pelu oruko Olohun Ajoke aye Oba Asake orun
So wipe {ire ojise} mo wa isora pelu Olohun Oba to ni awon eeyan 
Oba ti O je wipe Oun ni Oba ti O ni agbara lori gbogbo awon eeyan patapata 
Oba ti awon eeyan maa njosin fun lododo ni oun nikan
Nibi aburu shaetan ti maa nko royiroyi ba eeyan ti o si maa n sa pamo
Eleyi ti maa nko royiroyi sinu okan omoniyan
Ati nibi aburu awon alujannnu ati aburu ti eeyan
Leyin eleyi ni yio wa fi owo re ra ibi ti o ba lagbara mo nibi gbogbo arare, yio bere si ni maa fi mejeeji ra ori re, ati oju re, ati ibi ti owoja re bade nibi ara re, yio se eleyi leemeta",Adura ti a maa nse ki a to sun
2,"Olohun Oba Allah ti ko si eni ti ijosin to si ayafi Oun, Oba Abemi Oba ti o moju to gbogbo nkan, kii toogbe bee si ni kii sun, ti E ni gbogbo ohun to nbe ni sanmo ati ile, kosi eniti o le sipe ni odo Re ayafi pelu iyonda Re. O mo ohun ti o n be ni iwaju won ati ohun ti nbe ni eyin won, atipe won ko rokirika nkankan ninu imo Re ayafi pelu ohun ti O ba fe, aga Re fe tayo awon sanmo ati ile, atipe siso awon mejeji ko ko inira ba A, atipe Oun ni Oba ti O gaju ti O si tobi",Adura ti a maa nse ki a to sun
3,"Ojise nigbagbo si ohun ti won sokale fun un lati odo Olohun Oba re, ati pe awon olugbagbo ododo naa nigbagbo si ohun ti won sokale fun ojise, gbogbo won ni won ni igbagbo ninu Olohun ati awon malaika Re, ati awon tira Re, ati awon ojise Re, a o nii se iyato Kankan ninu awon ojise Re, awon olugbagbo ododo yio so wipe a gbo ti E Oluwa wa, a si tele ase Re, fori ese wa jin wa, Olohun wa, odo Re naa ni ifi abo si. Olohun ko la nkankan bo emi kan lorun ayafi ohun ti o ni agbara re, ti emi ni yio maa je ise rere toba se, oun naa lo ni ohun aburu ti o ba se, Olohun Oba ma se fi iya je wa nigba ti a ba gbagbe nkan abi ti a ba se asise, Olohun Oba wa, ma gbe eru ese le wa lori, gege bi O se gbe e le awon ti o ti saaju wa lori, Olohun ma se di eru ti a o nii le gbe ru wa, ni amojukuro fun wa, se aforiji ese wa, si ke wa, Iwo ni Oluwa wa, je ki a bori gbogbo ijo keferi",Adura ti a maa nse ki a to sun
4,"Pelu oruko Iwo Olohun Oba ِِِAseda mi, mo fi egbe mi le ile, pelu oruko Re naa ni ma fi gbe e dide pada, ti O ba gba emi mi, ba mi se ike re, ti O ba si da emi mi si, ba mi fi iso Re so o, pelu iso re ti o fi nso awon erusin Re rere",Adura ti a maa nse ki a to sun
5,"Olohun Oba Iwo ni O da emi mi, Iwo naa ni O O si pa a, ti E ni pipa ati yiye re nse, ti O ba ji I, ba mi fi iso Re so o, ti O ba si pa a, ba mi forijin in
Mo pe Iwo Olohun, mo toro ini alekun alafia lodo Re.",Adura ti a maa nse ki a to sun
6,Olohun so mi nibi iya Re ni ojo ti O maa gbe erusin Re dide,Adura ti a maa nse ki a to sun
7,Pelu oruko Iwo Olohun ni maa fi ku ati pe oun naa ni maa fi semi,Adura ti a maa nse ki a to sun
8,"Mimo ni fun Olohun (Yio se eleyii nigba metalelogbon), ope ni fun Olohun (Yio se eleyii nigba metalelogbon), Olohun ni O to bi julo (yio wi eleyi nigba merinlelogbon)",Adura ti a maa nse ki a to sun
9,"Mo pe Iwo Olohun Oluni sanmo mejeeje, Oluni ile mejeeje, Oluni aga al-arashi to tobi, Olohun wa, Oba gbogbo nkan, Olumu eso ati koro hu jade, Oluso taorah ati injiil ati al-fur'qooni ti nse Al kuraani kale, mo fi O wa isora kuro nibi aburu gbogbo nkan to je pe aaso ori re nbe lowo Re, mo pe Iwo Olohun Iwo ni Oba akoko ti nkankan ko gbawaju Re, Iwo ni Oba igbeyin ti nkankan ko si leyin Re, Iwo ni Oba ti O han, ko si nkankan ni oke Re, Iwo ni Oba ti o pamo, ti ko si nkankan ti o pamo ju O lo, ba wa san gbese orun wa ki O si la wa kuro ninu osi",Adura ti a maa nse ki a to sun
10,"Gbogbo ope ni fun Olohun ti O fun wa ni jije ati mimu, ti O si to wa kuro nibi gbogbo nkan, O si gbawa mora nibi gbogbo nkan, melo ni ogoro eniti ko ni eniti o le to o, ti ko si ni eniti o le gba a mora si odo",Adura ti a maa nse ki a to sun
11,"Mo pe Iwo Olohun, Iwo ti O ni mimo nkan ti o pamo ati nkan ti o han, Oluseda awon sanmo ati awon ile, Oluni gbogbo nkan ati Olukapa le e lori, mo jeri lododo wipe ko si eniti ijosin to si ayafi Iwo, mo fi O wa isora kuro nibi aburu emi mi, ati nibi aburu shaytoon ati isebo si Olohun tii maa n peni lo sidi re, ati kuro nibi ki n se ara mi ni aburu tabi ki n se e si musulumi.",Adura ti a maa nse ki a to sun
12,"Yio ka Alif lam mim, ti SURATU SAJDAH ati SURATUL- MULK",Adura ti a maa nse ki a to sun
13,"Olohun mo fa emi mi le O lowo, mo si fa oro mi le O lowo,mo wa da oju mi ko odo Re, mo fi eyin ti O leniti nwa oore ti si tu nfoya, kosi ibusalo si Kankan ayaafi odo Re nikan soso, mo ni igbagbob si tira Re ti O sokale ati pelu anabi Re ti O rannse",Adura ti a maa nse ki a to sun
